	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d
26	0.05906	0.04908	-0.00375	0.04308	0.01498	0.03849	0.12694	0.01818	0.05059	0.02571	0.06041	0.01800	0.04916	-0.03258	-0.00303	0.14799	0.07636	0.07816	0.13336	0.06659	0.07036	0.11233	0.04577	0.05918	0.13284	0.06286	0.06648	0.01569	-0.02443	-0.01121	0.09917	0.01601	0.03179	0.12134	0.03114	0.05525
27	0.05687	0.04793	-0.00118	0.04360	0.01721	0.03846	0.12972	0.01667	0.05569	0.02448	0.06545	0.01629	0.04914	-0.03053	0.00006	0.14493	0.07857	0.07964	0.13212	0.06920	0.07161	0.10820	0.04891	0.06126	0.14055	0.07064	0.07426	0.01327	-0.02194	-0.00969	0.10222	0.02138	0.03824	0.12879	0.03865	0.06352
28	0.05530	0.04675	0.00109	0.04413	0.01922	0.03844	0.13256	0.01607	0.06081	0.02350	0.07053	0.01529	0.04907	-0.02870	0.00290	0.14266	0.08109	0.08115	0.13120	0.07214	0.07331	0.10485	0.05179	0.06312	0.14760	0.07785	0.08190	0.01198	-0.01980	-0.00837	0.10617	0.02662	0.04438	0.13516	0.04634	0.07193
29	0.05392	0.04581	0.00311	0.04465	0.02102	0.03839	0.13502	0.01609	0.06572	0.02264	0.07537	0.01499	0.04847	-0.02705	0.00553	0.14114	0.08366	0.08262	0.13033	0.07515	0.07530	0.10221	0.05440	0.06474	0.15379	0.08424	0.08902	0.01108	-0.01803	-0.00721	0.11043	0.03171	0.05006	0.13943	0.05385	0.07983
30	0.05225	0.04525	0.00486	0.04512	0.02265	0.03832	0.13680	0.01652	0.07020	0.02183	0.07969	0.01515	0.04695	-0.02551	0.00796	0.14037	0.08602	0.08401	0.12939	0.07802	0.07744	0.09991	0.05670	0.06613	0.15891	0.08959	0.09523	0.00989	-0.01661	-0.00615	0.11410	0.03657	0.05511	0.14125	0.06078	0.08669
31	0.05000	0.04513	0.00636	0.04549	0.02409	0.03824	0.13766	0.01710	0.07408	0.02102	0.08334	0.01547	0.04426	-0.02403	0.01008	0.14019	0.08806	0.08530	0.12847	0.08065	0.07955	0.09772	0.05866	0.06736	0.16243	0.09376	0.10027	0.00802	-0.01554	-0.00516	0.11634	0.04107	0.05939	0.14088	0.06684	0.09219
32	0.04713	0.04551	0.00763	0.04576	0.02532	0.03822	0.13749	0.01751	0.07732	0.02017	0.08625	0.01570	0.04033	-0.02261	0.01172	0.14034	0.08979	0.08656	0.12777	0.08307	0.08154	0.09566	0.06028	0.06848	0.16378	0.09670	0.10403	0.00540	-0.01476	-0.00424	0.11674	0.04516	0.06284	0.13880	0.07188	0.09627
33	0.04366	0.04639	0.00867	0.04595	0.02626	0.03833	0.13639	0.01769	0.07999	0.01930	0.08849	0.01575	0.03508	-0.02134	0.01266	0.14075	0.09137	0.08790	0.12752	0.08532	0.08341	0.09375	0.06157	0.06953	0.16303	0.09857	0.10663	0.00217	-0.01422	-0.00341	0.11533	0.04886	0.06553	0.13531	0.07584	0.09898
34	0.03967	0.04774	0.00945	0.04614	0.02683	0.03861	0.13460	0.01793	0.08221	0.01844	0.09020	0.01559	0.02852	-0.02037	0.01270	0.14147	0.09301	0.08944	0.12782	0.08743	0.08520	0.09200	0.06259	0.07052	0.16075	0.09970	0.10834	-0.00150	-0.01386	-0.00271	0.11238	0.05223	0.06756	0.13059	0.07869	0.10045
35	0.03518	0.04956	0.00994	0.04638	0.02698	0.03911	0.13229	0.01853	0.08406	0.01768	0.09151	0.01525	0.02073	-0.01987	0.01173	0.14244	0.09487	0.09126	0.12860	0.08941	0.08695	0.09036	0.06338	0.07142	0.15730	0.10032	0.10943	-0.00555	-0.01369	-0.00219	0.10830	0.05530	0.06910	0.12483	0.08037	0.10081
