	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d
17	0.07256	0.27407	-0.21433	0.16551	1.09663	0.05822	0.66866	0.08525	0.12369	0.26929	0.06760	0.42438	-0.05284	-0.05369	1.03094	0.70750	0.64275	0.18154	0.05626	-0.28735	0.18723	0.58926	0.27898	-0.26896	0.31051	-0.34538	1.06813	0.28708	-0.36835	1.12634	0.60606	0.40258	-0.03586	-0.25450	-0.08993	1.16112	0.79775	-0.30090	0.74295
18	0.08681	0.25478	-0.27115	0.15134	1.07386	0.05923	0.67133	0.09895	0.09581	0.26936	0.09070	0.42567	0.00310	-0.13178	1.00233	0.72777	0.66142	0.16067	0.00430	-0.28938	0.25384	0.59196	0.26430	-0.25878	0.30619	-0.39166	1.05383	0.27431	-0.41209	1.09948	0.56724	0.37069	0.00569	-0.23637	-0.14907	1.13981	0.80826	-0.32094	0.74212
19	0.10965	0.23690	-0.32207	0.13604	1.04245	0.06043	0.66511	0.11454	0.06728	0.26841	0.11263	0.42710	0.06954	-0.20777	0.96488	0.73174	0.67376	0.14140	-0.04548	-0.29155	0.31844	0.57756	0.25158	-0.24641	0.30679	-0.43226	1.03144	0.27152	-0.44724	1.06562	0.52942	0.33014	0.04517	-0.20924	-0.20103	1.10787	0.81305	-0.34125	0.73750
20	0.13622	0.22433	-0.36386	0.12148	1.00492	0.06189	0.65136	0.12946	0.03912	0.26679	0.13318	0.42883	0.13812	-0.27615	0.92129	0.72232	0.67846	0.12344	-0.09073	-0.29382	0.37937	0.55072	0.24069	-0.23167	0.31104	-0.46480	1.00291	0.27675	-0.47193	1.02741	0.49275	0.28355	0.08145	-0.18105	-0.24257	1.06806	0.81257	-0.36134	0.73056
21	0.16168	0.21807	-0.39460	0.10885	0.96387	0.06359	0.63302	0.14181	0.01195	0.26490	0.15260	0.43061	0.20089	-0.33306	0.87442	0.70232	0.67593	0.10633	-0.13018	-0.29536	0.43538	0.51988	0.23113	-0.21405	0.31643	-0.48766	0.97025	0.28648	-0.48513	0.98751	0.45886	0.23354	0.11418	-0.15707	-0.27253	1.02328	0.80812	-0.38105	0.72283
22	0.18345	0.21669	-0.41407	0.09878	0.92177	0.06541	0.61295	0.15020	-0.01393	0.26312	0.17134	0.43192	0.25346	-0.37712	0.82705	0.67441	0.66730	0.08945	-0.16342	-0.29510	0.48548	0.49099	0.22244	-0.19310	0.32141	-0.50076	0.93547	0.29776	-0.48707	0.94827	0.43079	0.18243	0.14368	-0.13883	-0.29134	0.97630	0.80125	-0.40053	0.71576
23	0.20059	0.21787	-0.42332	0.09152	0.88079	0.06727	0.59276	0.15452	-0.03833	0.26163	0.18986	0.43225	0.29487	-0.40890	0.78151	0.64128	0.65460	0.07223	-0.19073	-0.29217	0.52887	0.46522	0.21431	-0.16865	0.32541	-0.50518	0.90046	0.30775	-0.47890	0.91154	0.41044	0.13223	0.17062	-0.12568	-0.30031	0.92964	0.79229	-0.41969	0.71062
24	0.21231	0.21963	-0.42384	0.08710	0.84269	0.06903	0.57244	0.15591	-0.06091	0.26048	0.20840	0.43126	0.32519	-0.42977	0.73978	0.60560	0.63925	0.05452	-0.21246	-0.28628	0.56494	0.44055	0.20671	-0.14087	0.32764	-0.50226	0.86696	0.31341	-0.46235	0.87857	0.39635	0.08478	0.19584	-0.11701	-0.30100	0.88544	0.78044	-0.43809	0.70836
25	0.21781	0.22042	-0.41729	0.08522	0.80884	0.07053	0.55105	0.15616	-0.08116	0.25964	0.22700	0.42887	0.34451	-0.44133	0.70338	0.56960	0.62145	0.03671	-0.22868	-0.27778	0.59321	0.41432	0.19984	-0.11029	0.32714	-0.49331	0.83646	0.31180	-0.43945	0.85007	0.38468	0.04161	0.22015	-0.11221	-0.29506	0.84546	0.76521	-0.45529	0.70970
26	0.21700	0.21914	-0.40542	0.08534	0.78021	0.07160	0.52802	0.15651	-0.09865	0.25912	0.24555	0.42530	0.35345	-0.44537	0.67339	0.53465	0.60053	0.01964	-0.23929	-0.26751	0.61332	0.38523	0.19386	-0.07763	0.32356	-0.47975	0.81010	0.30111	-0.41229	0.82632	0.37240	0.00371	0.24438	-0.11013	-0.28425	0.81103	0.74727	-0.47116	0.71521
27	0.21099	0.21526	-0.39011	0.08676	0.75735	0.07204	0.50336	0.15760	-0.11311	0.25897	0.26391	0.42100	0.35390	-0.44382	0.65041	0.50095	0.57583	0.00448	-0.24408	-0.25666	0.62514	0.35323	0.18865	-0.04362	0.31725	-0.46306	0.78865	0.28166	-0.38313	0.80727	0.35852	-0.02857	0.26938	-0.10886	-0.27041	0.78306	0.72825	-0.48604	0.72532
28	0.20166	0.20879	-0.37317	0.08872	0.74043	0.07169	0.47708	0.15980	-0.12442	0.25927	0.28202	0.41662	0.34842	-0.43846	0.63460	0.46676	0.54739	-0.00732	-0.24303	-0.24635	0.62893	0.31894	0.18383	-0.00878	0.30852	-0.44459	0.77249	0.25603	-0.35433	0.79265	0.34275	-0.05526	0.29599	-0.10635	-0.25530	0.76197	0.70956	-0.50032	0.74029
29	0.19066	0.20058	-0.35605	0.09053	0.72939	0.07040	0.44903	0.16335	-0.13254	0.26006	0.29996	0.41288	0.33931	-0.43061	0.62594	0.43001	0.51606	-0.01451	-0.23643	-0.23737	0.62544	0.28342	0.17897	0.02650	0.29746	-0.42538	0.76166	0.22812	-0.32805	0.78215	0.32406	-0.07656	0.32505	-0.10224	-0.24014	0.74783	0.69159	-0.51416	0.76020
