	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d
17	0.07320	0.02723	-0.02540	0.02765	0.03114	0.02929	0.00606	0.03767	-0.11994	0.05211	-0.10129	0.02848	0.08114	-0.02514	0.02330	-0.02898	0.06000	-0.09166	-0.08584	-0.08908	-0.09131	0.01245	-0.10820	-0.09734	0.03470	-0.05905	0.01202	0.07815	0.00867	0.07448	-0.03086	-0.21184	-0.15069	0.09880	-0.02607	0.01476	0.01770	-0.10215	-0.07805
18	0.07247	0.02521	-0.01207	0.02548	0.03806	0.02922	0.00270	0.03328	-0.12793	0.05332	-0.10997	0.02814	0.08245	-0.01459	0.02989	-0.01332	0.05050	-0.09735	-0.09209	-0.09378	-0.10005	0.01335	-0.11728	-0.10369	0.03671	-0.03943	0.02148	0.07545	0.02218	0.08137	-0.03943	-0.22155	-0.15966	0.09527	-0.01646	0.01951	0.00240	-0.11140	-0.09269
19	0.07160	0.02375	0.00025	0.02249	0.04455	0.02719	0.00043	0.03301	-0.13371	0.05324	-0.11719	0.02731	0.08417	-0.00316	0.03759	0.00429	0.04195	-0.10229	-0.09663	-0.09883	-0.10775	0.01446	-0.12508	-0.11036	0.03907	-0.02156	0.02998	0.06983	0.03173	0.08468	-0.04740	-0.22672	-0.16542	0.09335	-0.00600	0.02594	-0.01115	-0.11783	-0.10360
20	0.07148	0.02350	0.01136	0.01846	0.05080	0.02359	-0.00148	0.03630	-0.13740	0.05190	-0.12277	0.02561	0.08711	0.00885	0.04627	0.01935	0.03526	-0.10700	-0.09938	-0.10437	-0.11393	0.01521	-0.13198	-0.11724	0.04252	-0.00612	0.03772	0.06258	0.03734	0.08532	-0.05366	-0.22747	-0.16778	0.09371	0.00535	0.03388	-0.02355	-0.12116	-0.11051
21	0.07232	0.02476	0.02119	0.01373	0.05679	0.01913	-0.00394	0.04015	-0.13925	0.04944	-0.12660	0.02306	0.09143	0.02106	0.05550	0.02842	0.03081	-0.11195	-0.10053	-0.11036	-0.11827	0.01389	-0.13836	-0.12419	0.04730	0.00675	0.04476	0.05489	0.03967	0.08422	-0.05795	-0.22415	-0.16677	0.09566	0.01730	0.04268	-0.03488	-0.12124	-0.11340
22	0.07358	0.02722	0.02974	0.00942	0.06232	0.01467	-0.00726	0.04271	-0.13952	0.04623	-0.12867	0.02018	0.09647	0.03293	0.06473	0.03076	0.02857	-0.11742	-0.10039	-0.11661	-0.12073	0.00988	-0.14446	-0.13100	0.05282	0.01719	0.05099	0.04737	0.03963	0.08214	-0.06097	-0.21727	-0.16260	0.09767	0.02921	0.05142	-0.04452	-0.11807	-0.11241
23	0.07445	0.03015	0.03693	0.00804	0.06710	0.01121	-0.01100	0.04373	-0.13847	0.04289	-0.12899	0.01819	0.10124	0.04394	0.07338	0.02786	0.02798	-0.12351	-0.09932	-0.12281	-0.12139	0.00415	-0.15036	-0.13743	0.05798	0.02543	0.05623	0.04027	0.03808	0.07961	-0.06329	-0.20738	-0.15556	0.09831	0.04026	0.05916	-0.05170	-0.11177	-0.10777
24	0.07432	0.03291	0.04267	0.01062	0.07081	0.00973	-0.01447	0.04356	-0.13623	0.04036	-0.12762	0.01877	0.10486	0.05367	0.08095	0.02208	0.02841	-0.13012	-0.09762	-0.12865	-0.12048	-0.00199	-0.15597	-0.14329	0.06173	0.03166	0.06024	0.03375	0.03575	0.07693	-0.06473	-0.19501	-0.14595	0.09695	0.04960	0.06513	-0.05612	-0.10242	-0.09976
25	0.07293	0.03507	0.04689	0.01438	0.07322	0.01032	-0.01719	0.04254	-0.13287	0.03967	-0.12468	0.02275	0.10683	0.06181	0.08704	0.01536	0.02932	-0.13695	-0.09558	-0.13390	-0.11832	-0.00785	-0.16112	-0.14845	0.06330	0.03604	0.06284	0.02799	0.03320	0.07424	-0.06460	-0.18051	-0.13401	0.09360	0.05653	0.06878	-0.05818	-0.09019	-0.08872
26	0.07029	0.03641	0.04954	0.01764	0.07421	0.01195	-0.01908	0.04089	-0.12845	0.04156	-0.12035	0.02937	0.10699	0.06810	0.09145	0.00882	0.03031	-0.14360	-0.09349	-0.13842	-0.11533	-0.01351	-0.16555	-0.15282	0.06238	0.03868	0.06392	0.02309	0.03083	0.07159	-0.06260	-0.16414	-0.12002	0.08869	0.06054	0.06988	-0.05841	-0.07546	-0.07513
27	0.06657	0.03694	0.05064	0.01990	0.07385	0.01378	-0.02024	0.03876	-0.12305	0.04601	-0.11489	0.03755	0.10547	0.07244	0.09418	0.00284	0.03099	-0.14959	-0.09157	-0.14219	-0.11197	-0.01907	-0.16902	-0.15635	0.05909	0.03971	0.06357	0.01900	0.02885	0.06902	-0.05894	-0.14622	-0.10432	0.08273	0.06155	0.06861	-0.05701	-0.05883	-0.05961
28	0.06209	0.03686	0.05033	0.02113	0.07235	0.01550	-0.02068	0.03613	-0.11680	0.05234	-0.10861	0.04651	0.10262	0.07478	0.09542	-0.00235	0.03098	-0.15448	-0.09004	-0.14522	-0.10866	-0.02427	-0.17136	-0.15897	0.05401	0.03936	0.06201	0.01551	0.02732	0.06656	-0.05399	-0.12708	-0.08738	0.07621	0.05988	0.06541	-0.05377	-0.04102	-0.04284
29	0.05725	0.03649	0.04890	0.02152	0.07005	0.01706	-0.02028	0.03297	-0.10986	0.05969	-0.10185	0.05569	0.09895	0.07532	0.09548	-0.00630	0.02999	-0.15794	-0.08903	-0.14757	-0.10578	-0.02876	-0.17242	-0.16058	0.04796	0.03793	0.05955	0.01238	0.02615	0.06424	-0.04785	-0.10713	-0.06972	0.06971	0.05619	0.06094	-0.04848	-0.02277	-0.02558
30	0.05254	0.03606	0.04670	0.02137	0.06732	0.01849	-0.01895	0.02939	-0.10241	0.06732	-0.09488	0.06464	0.09501	0.07440	0.09473	-0.00853	0.02796	-0.15980	-0.08861	-0.14926	-0.10359	-0.03233	-0.17212	-0.16109	0.04177	0.03579	0.05655	0.00951	0.02522	0.06211	-0.04054	-0.08680	-0.05191	0.06388	0.05140	0.05589	-0.04131	-0.00472	-0.00856
31	0.04844	0.03568	0.04419	0.02095	0.06455	0.01976	-0.01674	0.02578	-0.09466	0.07475	-0.08799	0.07299	0.09135	0.07255	0.09359	-0.00891	0.02527	-0.16006	-0.08875	-0.15026	-0.10221	-0.03494	-0.17052	-0.16046	0.03611	0.03336	0.05342	0.00708	0.02443	0.06026	-0.03241	-0.06650	-0.03454	0.05922	0.04641	0.05092	-0.03271	0.01253	0.00752
32	0.04526	0.03538	0.04179	0.02046	0.06210	0.02087	-0.01389	0.02268	-0.08682	0.08166	-0.08139	0.08039	0.08838	0.07035	0.09248	-0.00796	0.02237	-0.15889	-0.08934	-0.15050	-0.10158	-0.03669	-0.16779	-0.15872	0.03140	0.03105	0.05057	0.00537	0.02376	0.05875	-0.02399	-0.04656	-0.01820	0.05588	0.04199	0.04660	-0.02316	0.02850	0.02203
33	0.04310	0.03513	0.03989	0.02002	0.06030	0.02181	-0.01069	0.02069	-0.07906	0.08789	-0.07525	0.08655	0.08635	0.06837	0.09179	-0.00645	0.01962	-0.15654	-0.09020	-0.14984	-0.10153	-0.03803	-0.16413	-0.15594	0.02782	0.02921	0.04839	0.00454	0.02329	0.05768	-0.01540	-0.02729	-0.00340	0.05368	0.03867	0.04335	-0.01320	0.04283	0.03447
34	0.04191	0.03494	0.03877	0.01969	0.05942	0.02259	-0.00744	0.02027	-0.07153	0.09335	-0.06963	0.09125	0.08532	0.06708	0.09189	-0.00496	0.01701	-0.15327	-0.09111	-0.14814	-0.10181	-0.03942	-0.15969	-0.15220	0.02538	0.02817	0.04724	0.00455	0.02312	0.05712	-0.00628	-0.00896	0.00944	0.05237	0.03672	0.04143	-0.00352	0.05537	0.04455
35	0.04151	0.03486	0.03861	0.01952	0.05963	0.02325	-0.00432	0.02155	-0.06432	0.09798	-0.06453	0.09438	0.08523	0.06679	0.09306	-0.00393	0.01441	-0.14933	-0.09188	-0.14529	-0.10213	-0.04106	-0.15461	-0.14758	0.02400	0.02812	0.04739	0.00512	0.02334	0.05712	0.00366	0.00813	0.02008	0.05169	0.03619	0.04096	0.00534	0.06610	0.05226
36	0.04170	0.03497	0.03944	0.01957	0.06100	0.02387	-0.00153	0.02427	-0.05748	0.10171	-0.05989	0.09597	0.08593	0.06768	0.09547	-0.00382	0.01177	-0.14489	-0.09231	-0.14127	-0.10226	-0.04292	-0.14894	-0.14215	0.02348	0.02915	0.04895	0.00586	0.02398	0.05768	0.01391	0.02355	0.02834	0.05155	0.03694	0.04190	0.01338	0.07517	0.05790
37	0.04229	0.03531	0.04115	0.01988	0.06346	0.02453	0.00074	0.02795	-0.05103	0.10446	-0.05561	0.09617	0.08716	0.06975	0.09913	-0.00511	0.00911	-0.14003	-0.09225	-0.13619	-0.10203	-0.04492	-0.14260	-0.13597	0.02355	0.03116	0.05185	0.00648	0.02495	0.05880	0.02368	0.03695	0.03425	0.05196	0.03872	0.04406	0.02097	0.08275	0.06193
38	0.04307	0.03585	0.04352	0.02048	0.06684	0.02532	0.00245	0.03223	-0.04493	0.10611	-0.05157	0.09524	0.08862	0.07282	0.10391	-0.00807	0.00640	-0.13463	-0.09162	-0.13015	-0.10137	-0.04704	-0.13553	-0.12926	0.02380	0.03394	0.05587	0.00687	0.02614	0.06043	0.03250	0.04809	0.03799	0.05297	0.04118	0.04714	0.02846	0.08904	0.06492
39	0.04383	0.03649	0.04625	0.02135	0.07086	0.02629	0.00352	0.03689	-0.03915	0.10664	-0.04773	0.09352	0.08998	0.07662	0.10952	-0.01276	0.00356	-0.12846	-0.09045	-0.12325	-0.10030	-0.04928	-0.12791	-0.12243	0.02381	0.03713	0.06063	0.00706	0.02735	0.06252	0.04018	0.05686	0.03987	0.05445	0.04390	0.05075	0.03588	0.09421	0.06744
40	0.04435	0.03714	0.04897	0.02250	0.07515	0.02748	0.00381	0.04171	-0.03370	0.10608	-0.04408	0.09140	0.09093	0.08078	0.11563	-0.01910	0.00046	-0.12130	-0.08872	-0.11567	-0.09885	-0.05165	-0.12012	-0.11606	0.02320	0.04033	0.06566	0.00716	0.02835	0.06492	0.04644	0.06322	0.04027	0.05610	0.04644	0.05438	0.04290	0.09840	0.06993
41	0.04442	0.03770	0.05133	0.02390	0.07933	0.02893	0.00321	0.04637	-0.02861	0.10452	-0.04062	0.08923	0.09122	0.08497	0.12193	-0.02670	-0.00300	-0.11305	-0.08643	-0.10760	-0.09705	-0.05418	-0.11256	-0.11071	0.02169	0.04308	0.07046	0.00721	0.02885	0.06739	0.05097	0.06728	0.03956	0.05754	0.04840	0.05753	0.04895	0.10170	0.07268
42	0.04390	0.03812	0.05300	0.02556	0.08304	0.03067	0.00172	0.05048	-0.02390	0.10206	-0.03739	0.08723	0.09068	0.08890	0.12812	-0.03473	-0.00683	-0.10376	-0.08364	-0.09921	-0.09498	-0.05685	-0.10547	-0.10663	0.01918	0.04499	0.07457	0.00723	0.02859	0.06967	0.05363	0.06925	0.03810	0.05851	0.04953	0.05979	0.05336	0.10412	0.07578
43	0.04276	0.03835	0.05377	0.02748	0.08597	0.03269	-0.00055	0.05368	-0.01960	0.09890	-0.03438	0.08552	0.08925	0.09233	0.13391	-0.04219	-0.01103	-0.09367	-0.08045	-0.09067	-0.09274	-0.05967	-0.09902	-0.10379	0.01573	0.04573	0.07759	0.00722	0.02737	0.07148	0.05453	0.06949	0.03614	0.05882	0.04967	0.06091	0.05561	0.10566	0.07916
