	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d
17	0.75843	0.12760	0.25529	0.07047	-0.03073	0.03323	0.37777	0.20016	0.03131	0.08065	-0.22936	0.16741	0.59862	0.18237	-0.01293	0.16668	0.26120	-0.04793	0.00210	-0.37656	-0.32457	0.30371	0.02038	-0.32463	0.86702	0.32248	0.00717	0.85545	0.30842	-0.05650	0.66791	0.16728	-0.14792	0.71265	0.20791	-0.06065	0.48935	0.01471	0.02690
18	0.74512	0.11627	0.24563	0.07434	-0.02233	0.02924	0.39936	0.19057	0.02011	0.08340	-0.22734	0.16805	0.61342	0.17686	-0.00653	0.21457	0.26731	-0.05303	-0.02892	-0.38357	-0.31253	0.34104	0.02475	-0.32669	0.83476	0.30148	0.01098	0.85069	0.31784	-0.04619	0.68671	0.15993	-0.13865	0.68163	0.18634	-0.04757	0.48719	-0.00220	0.02476
19	0.72384	0.10942	0.23400	0.07660	-0.01175	0.02552	0.41289	0.17940	0.01098	0.08784	-0.22362	0.16678	0.62175	0.17278	0.00275	0.25756	0.26744	-0.05303	-0.05984	-0.38547	-0.29992	0.37077	0.03024	-0.32570	0.79417	0.27785	0.01677	0.83984	0.31943	-0.03471	0.69131	0.15451	-0.12746	0.63963	0.16594	-0.03181	0.47738	-0.01698	0.02047
20	0.69734	0.10916	0.22265	0.07654	-0.00054	0.02266	0.41866	0.16868	0.00453	0.09373	-0.21839	0.16414	0.62292	0.17134	0.01321	0.29100	0.26356	-0.04757	-0.08845	-0.38190	-0.28807	0.39258	0.03688	-0.32224	0.74945	0.25525	0.02390	0.82522	0.31479	-0.02317	0.68507	0.15140	-0.11545	0.59179	0.14924	-0.01609	0.46110	-0.02959	0.01569
21	0.66806	0.11425	0.21299	0.07400	0.00970	0.02076	0.41768	0.15949	0.00059	0.10034	-0.21205	0.16083	0.61707	0.17289	0.02304	0.31208	0.25812	-0.03753	-0.11318	-0.37350	-0.27796	0.40619	0.04395	-0.31725	0.70440	0.23603	0.03118	0.80792	0.30560	-0.01261	0.67162	0.15000	-0.10361	0.54285	0.13742	-0.00280	0.44038	-0.04030	0.01207
22	0.63811	0.12159	0.20558	0.06947	0.01777	0.01963	0.41215	0.15148	-0.00138	0.10671	-0.20506	0.15755	0.60558	0.17731	0.03092	0.32210	0.25345	-0.02432	-0.13307	-0.36159	-0.26999	0.41286	0.05052	-0.31174	0.66179	0.22118	0.03749	0.78864	0.29364	-0.00386	0.65390	0.14925	-0.09273	0.49643	0.13021	0.00653	0.41846	-0.04929	0.01074
23	0.60929	0.12851	0.20040	0.06399	0.02313	0.01905	0.40504	0.14382	-0.00193	0.11204	-0.19786	0.15480	0.59080	0.18410	0.03621	0.32586	0.25120	-0.00943	-0.14773	-0.34778	-0.26399	0.41569	0.05578	-0.30639	0.62341	0.21051	0.04217	0.76799	0.28062	0.00259	0.63447	0.14832	-0.08323	0.45495	0.12638	0.01157	0.39800	-0.05661	0.01209
24	0.58281	0.13379	0.19679	0.05889	0.02580	0.01899	0.39885	0.13601	-0.00149	0.11581	-0.19074	0.15280	0.57519	0.19230	0.03895	0.32911	0.25229	0.00584	-0.15704	-0.33355	-0.25929	0.41799	0.05913	-0.30151	0.59028	0.20302	0.04496	0.74658	0.26783	0.00645	0.61543	0.14692	-0.07521	0.41921	0.12400	0.01284	0.37943	-0.06228	0.01585
25	0.55932	0.13733	0.19366	0.05556	0.02618	0.01946	0.39479	0.12806	-0.00036	0.11779	-0.18386	0.15149	0.56063	0.20062	0.03969	0.33607	0.25698	0.02054	-0.16111	-0.31997	-0.25511	0.42177	0.06025	-0.29700	0.56276	0.19724	0.04597	0.72510	0.25602	0.00763	0.59800	0.14511	-0.06857	0.38877	0.12077	0.01142	0.36115	-0.06658	0.02134
26	0.53898	0.13938	0.18991	0.05490	0.02491	0.02038	0.39279	0.12054	0.00121	0.11802	-0.17725	0.15068	0.54828	0.20779	0.03923	0.34813	0.26497	0.03409	-0.16031	-0.30766	-0.25083	0.42719	0.05917	-0.29254	0.54051	0.19169	0.04557	0.70405	0.24538	0.00625	0.58240	0.14307	-0.06303	0.36308	0.11479	0.00859	0.34129	-0.06996	0.02782
