	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d
17	0.69948	0.09990	0.22248	0.05209	-0.06863	0.01390	0.71382	0.09278	0.19588	0.06248	-0.06119	0.02982	0.62506	0.18264	-0.02313	0.74810	0.24620	-0.07088	0.85270	0.31093	-0.03286	0.66895	0.21740	-0.05281	0.63667	0.12742	-0.05377	0.58397	0.17228	-0.05190	0.71378	0.17084	-0.07242	0.65821	0.21117	-0.08723	0.79648	0.17229	-0.09772	0.72744	0.24909	-0.06049	0.61624	0.14948	-0.08797	0.66660	0.21623	-0.07706	0.88507	0.30671	-0.07928
18	0.69524	0.10406	0.20728	0.05294	-0.06081	0.01337	0.72017	0.08081	0.18464	0.05969	-0.05735	0.02883	0.64050	0.16234	-0.02615	0.74659	0.23662	-0.06667	0.85086	0.29341	-0.02817	0.67634	0.21666	-0.04963	0.64650	0.12246	-0.04698	0.55976	0.14626	-0.04390	0.73422	0.16623	-0.06296	0.68224	0.20681	-0.08398	0.76667	0.15658	-0.09586	0.70327	0.22980	-0.04772	0.61787	0.13375	-0.07680	0.67486	0.20184	-0.06798	0.88801	0.28604	-0.07298
19	0.67609	0.10635	0.19011	0.05376	-0.05119	0.01307	0.71276	0.07114	0.17345	0.05433	-0.05135	0.02865	0.64244	0.14272	-0.02605	0.73111	0.22496	-0.06053	0.83310	0.27025	-0.02168	0.67094	0.21347	-0.04491	0.64584	0.12108	-0.03878	0.52635	0.12220	-0.03532	0.73846	0.16237	-0.05063	0.68961	0.20019	-0.07869	0.72709	0.14408	-0.09230	0.66653	0.21125	-0.03368	0.60436	0.11537	-0.06334	0.66486	0.18349	-0.05663	0.86850	0.26004	-0.06395
20	0.64592	0.10650	0.17313	0.05464	-0.04056	0.01309	0.69328	0.06354	0.16413	0.04750	-0.04362	0.02922	0.63015	0.12662	-0.02276	0.70496	0.21285	-0.05288	0.80122	0.24475	-0.01374	0.65626	0.20932	-0.03882	0.63795	0.12359	-0.02994	0.48857	0.10211	-0.02674	0.72791	0.16035	-0.03632	0.68094	0.19405	-0.07150	0.68153	0.13543	-0.08746	0.62446	0.19496	-0.01951	0.57726	0.09640	-0.04875	0.63834	0.16372	-0.04403	0.83159	0.23253	-0.05318
21	0.60975	0.10537	0.15742	0.05580	-0.02975	0.01335	0.66493	0.05758	0.15714	0.04063	-0.03482	0.03027	0.60525	0.11509	-0.01675	0.67252	0.20107	-0.04438	0.75879	0.21937	-0.00494	0.63741	0.20504	-0.03170	0.62633	0.12871	-0.02131	0.44983	0.08603	-0.01859	0.70596	0.15957	-0.02124	0.66007	0.18987	-0.06287	0.63315	0.13021	-0.08180	0.58284	0.18104	-0.00614	0.53998	0.07809	-0.03435	0.60079	0.14438	-0.03126	0.78485	0.20628	-0.04186
22	0.57178	0.10417	0.14314	0.05730	-0.01952	0.01372	0.63163	0.05395	0.15183	0.03500	-0.02570	0.03149	0.57192	0.10779	-0.00884	0.63756	0.18955	-0.03572	0.71112	0.19577	0.00410	0.61817	0.20086	-0.02408	0.61288	0.13405	-0.01361	0.41225	0.07268	-0.01120	0.67735	0.15841	-0.00663	0.63210	0.18774	-0.05352	0.58442	0.12724	-0.07573	0.54503	0.16873	0.00581	0.49652	0.06095	-0.02116	0.55801	0.12656	-0.01929	0.73489	0.18266	-0.03104
23	0.53469	0.10368	0.12991	0.05904	-0.01037	0.01410	0.59710	0.05334	0.14701	0.03128	-0.01696	0.03268	0.53609	0.10347	-0.00008	0.60270	0.17774	-0.02754	0.66388	0.17472	0.01280	0.60066	0.19680	-0.01645	0.59741	0.13704	-0.00716	0.37687	0.06049	-0.00468	0.64640	0.15502	0.00657	0.60164	0.18678	-0.04425	0.53715	0.12503	-0.06965	0.51233	0.15701	0.01614	0.45072	0.04502	-0.00985	0.51439	0.11048	-0.00874	0.68518	0.16179	-0.02144
24	0.50004	0.10416	0.11713	0.06095	-0.00247	0.01445	0.56414	0.05474	0.14144	0.02932	-0.00906	0.03372	0.50317	0.10038	0.00856	0.56965	0.16512	-0.02016	0.62121	0.15619	0.02074	0.58622	0.19271	-0.00923	0.57956	0.13591	-0.00185	0.34421	0.04802	0.00104	0.61586	0.14821	0.01777	0.57188	0.18563	-0.03574	0.49318	0.12232	-0.06385	0.48448	0.14508	0.02500	0.40591	0.03006	-0.00068	0.47300	0.09577	0.00008	0.63679	0.14316	-0.01334
25	0.46878	0.10539	0.10430	0.06297	0.00426	0.01484	0.53451	0.05648	0.13424	0.02870	-0.00221	0.03455	0.47585	0.09666	0.01635	0.53942	0.15148	-0.01362	0.58492	0.13970	0.02781	0.57546	0.18833	-0.00257	0.55999	0.13004	0.00267	0.31521	0.03428	0.00627	0.58686	0.13769	0.02683	0.54532	0.18314	-0.02838	0.45411	0.11824	-0.05853	0.46073	0.13250	0.03288	0.36479	0.01578	0.00636	0.43577	0.08181	0.00713	0.59008	0.12595	-0.00663
26	0.44159	0.10709	0.09112	0.06508	0.01015	0.01534	0.50885	0.05743	0.12505	0.02903	0.00368	0.03524	0.45429	0.09090	0.02303	0.51258	0.13691	-0.00772	0.55490	0.12471	0.03422	0.56799	0.18335	0.00363	0.53984	0.11978	0.00696	0.29099	0.01884	0.01142	0.55934	0.12389	0.03395	0.52343	0.17854	-0.02230	0.42127	0.11248	-0.05376	0.44075	0.11916	0.04044	0.32898	0.00199	0.01145	0.40349	0.06821	0.01273	0.54638	0.10937	-0.00089
27	0.41898	0.10929	0.07757	0.06724	0.01570	0.01607	0.48703	0.05708	0.11391	0.03001	0.00896	0.03590	0.43722	0.08237	0.02883	0.48992	0.12179	-0.00210	0.53027	0.11087	0.04049	0.56300	0.17769	0.00971	0.52014	0.10605	0.01161	0.27173	0.00183	0.01695	0.53256	0.10752	0.03967	0.50657	0.17152	-0.01736	0.39543	0.10515	-0.04945	0.42436	0.10517	0.04838	0.29911	-0.01135	0.01492	0.37635	0.05500	0.01747	0.50837	0.09284	0.00456
