	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d
17	0.05258	0.02309	-0.07993	0.01011	-0.03991	0.02457	0.10615	0.04748	-0.07120	0.03526	-0.01581	0.05114	0.03293	-0.08085	-0.04107	0.07056	-0.05977	-0.02709	0.08510	-0.10009	-0.02605	0.10043	-0.05223	0.00785	0.05019	-0.07157	-0.02111	0.04164	-0.09386	-0.07424	0.06713	-0.10181	-0.08267	0.11900	-0.09867	-0.03692	0.08557	-0.07343	-0.02322	0.19470	-0.01462	0.07003
18	0.04136	0.02252	-0.07741	0.01106	-0.03728	0.02535	0.09919	0.04957	-0.07212	0.03583	-0.01570	0.05311	0.02281	-0.07935	-0.03853	0.06553	-0.06382	-0.03187	0.07226	-0.10056	-0.02498	0.09904	-0.05046	0.00922	0.04033	-0.06804	-0.01784	0.02898	-0.09226	-0.07268	0.05693	-0.10483	-0.08470	0.10984	-0.09846	-0.03550	0.07334	-0.06999	-0.02008	0.19154	-0.01460	0.07364
19	0.03237	0.02159	-0.07273	0.01174	-0.03377	0.02586	0.09187	0.05011	-0.07060	0.03633	-0.01464	0.05446	0.01658	-0.07547	-0.03494	0.05925	-0.06608	-0.03562	0.06032	-0.09829	-0.02298	0.09662	-0.04685	0.01059	0.03250	-0.06298	-0.01391	0.01754	-0.08821	-0.06991	0.04952	-0.10522	-0.08474	0.10093	-0.09523	-0.03241	0.06285	-0.06427	-0.01630	0.18460	-0.01191	0.07730
20	0.02734	0.02061	-0.06638	0.01211	-0.02960	0.02607	0.08565	0.04952	-0.06704	0.03676	-0.01286	0.05520	0.01455	-0.06951	-0.03058	0.05307	-0.06684	-0.03824	0.05128	-0.09357	-0.02022	0.09460	-0.04191	0.01185	0.02829	-0.05688	-0.00966	0.01047	-0.08221	-0.06610	0.04464	-0.10328	-0.08314	0.09415	-0.08957	-0.02810	0.05606	-0.05691	-0.01207	0.17612	-0.00705	0.08070
21	0.02630	0.01960	-0.05886	0.01221	-0.02506	0.02596	0.08124	0.04856	-0.06185	0.03706	-0.01053	0.05541	0.01548	-0.06186	-0.02569	0.04788	-0.06628	-0.03974	0.04603	-0.08669	-0.01686	0.09382	-0.03609	0.01302	0.02741	-0.05028	-0.00541	0.00894	-0.07485	-0.06153	0.04129	-0.09939	-0.08029	0.09000	-0.08202	-0.02299	0.05337	-0.04843	-0.00760	0.16846	-0.00060	0.08370
22	0.02770	0.01858	-0.05067	0.01216	-0.02037	0.02560	0.07857	0.04782	-0.05532	0.03724	-0.00778	0.05522	0.01747	-0.05303	-0.02049	0.04396	-0.06443	-0.04026	0.04415	-0.07795	-0.01304	0.09413	-0.02969	0.01423	0.02839	-0.04361	-0.00143	0.01144	-0.06674	-0.05651	0.03842	-0.09386	-0.07657	0.08788	-0.07297	-0.01738	0.05351	-0.03928	-0.00303	0.16290	0.00699	0.08631
23	0.02959	0.01769	-0.04231	0.01220	-0.01571	0.02507	0.07699	0.04758	-0.04768	0.03730	-0.00472	0.05478	0.01897	-0.04359	-0.01514	0.04111	-0.06126	-0.03998	0.04448	-0.06772	-0.00885	0.09475	-0.02284	0.01568	0.02979	-0.03722	0.00214	0.01517	-0.05856	-0.05135	0.03529	-0.08694	-0.07230	0.08669	-0.06275	-0.01149	0.05445	-0.02986	0.00151	0.15962	0.01545	0.08862
24	0.03059	0.01693	-0.03421	0.01257	-0.01119	0.02449	0.07569	0.04788	-0.03914	0.03733	-0.00138	0.05424	0.01923	-0.03409	-0.00974	0.03890	-0.05674	-0.03905	0.04564	-0.05645	-0.00434	0.09480	-0.01567	0.01751	0.03074	-0.03134	0.00526	0.01790	-0.05089	-0.04628	0.03144	-0.07891	-0.06780	0.08525	-0.05173	-0.00541	0.05447	-0.02052	0.00600	0.15810	0.02463	0.09080
25	0.03016	0.01622	-0.02667	0.01337	-0.00685	0.02394	0.07409	0.04859	-0.03002	0.03740	0.00222	0.05374	0.01816	-0.02495	-0.00433	0.03696	-0.05104	-0.03757	0.04654	-0.04469	0.00048	0.09376	-0.00833	0.01981	0.03091	-0.02608	0.00793	0.01872	-0.04411	-0.04144	0.02681	-0.07015	-0.06331	0.08288	-0.04030	0.00082	0.05284	-0.01154	0.01043	0.15756	0.03441	0.09305
26	0.02851	0.01555	-0.01981	0.01457	-0.00271	0.02350	0.07195	0.04941	-0.02065	0.03762	0.00611	0.05336	0.01612	-0.01642	0.00103	0.03512	-0.04458	-0.03553	0.04663	-0.03299	0.00566	0.09162	-0.00102	0.02261	0.03028	-0.02141	0.01020	0.01782	-0.03833	-0.03690	0.02182	-0.06110	-0.05888	0.07939	-0.02886	0.00722	0.04982	-0.00308	0.01482	0.15712	0.04465	0.09557
