	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d
23	-0.00276	0.08756	0.05215	0.10146	0.47508	0.15978	0.12714	0.08793	0.25816	0.09470	0.32118	0.14564	-0.03096	0.12589	0.27519	0.06976	0.37437	0.33513	0.24302	0.10047	0.24932	0.12795	0.23768	0.53408	0.07149	-0.05236	0.64390	0.06262	-0.01628	0.55246	0.05798	0.33221	0.43698	0.03959	0.23647	0.13434	-0.11418	0.15133	0.42875	0.22455	0.26778	0.23721
24	-0.02218	0.08027	0.01461	0.09548	0.50559	0.16122	0.10650	0.07752	0.21501	0.08598	0.34104	0.14904	-0.03925	0.08836	0.30685	0.05277	0.32487	0.36522	0.21290	0.07340	0.27055	0.10347	0.19558	0.55837	0.04771	-0.07955	0.67571	0.03128	-0.05529	0.58747	0.05451	0.27767	0.45162	0.02668	0.19397	0.14370	-0.12847	0.10493	0.45233	0.18868	0.22454	0.25677
25	-0.03214	0.07287	-0.02061	0.08975	0.53525	0.16021	0.08928	0.06817	0.17358	0.07742	0.36069	0.15075	-0.03977	0.05162	0.34087	0.03883	0.27563	0.39449	0.18862	0.04610	0.29259	0.08180	0.15542	0.57904	0.03232	-0.10513	0.70395	0.01052	-0.09103	0.62029	0.05309	0.22446	0.46552	0.01796	0.15650	0.15520	-0.13162	0.06211	0.47588	0.15535	0.18337	0.27732
26	-0.03519	0.06523	-0.05289	0.08381	0.56423	0.15692	0.07525	0.06094	0.13438	0.06950	0.38051	0.15083	-0.03472	0.01603	0.37700	0.02765	0.22793	0.42334	0.17098	0.01878	0.31563	0.06260	0.11748	0.59658	0.02299	-0.12847	0.72906	-0.00262	-0.12231	0.65094	0.05332	0.17338	0.47928	0.01188	0.12371	0.16930	-0.12640	0.02320	0.49991	0.12506	0.14501	0.29894
27	-0.03476	0.05815	-0.08181	0.07737	0.59264	0.15164	0.06372	0.05697	0.09767	0.06261	0.40076	0.14939	-0.02738	-0.01805	0.41483	0.01871	0.18256	0.45198	0.15944	-0.00835	0.33982	0.04502	0.08213	0.61151	0.01706	-0.14913	0.75149	-0.01119	-0.14842	0.67944	0.05308	0.12536	0.49333	0.00638	0.09481	0.18627	-0.11753	-0.01164	0.52481	0.09966	0.10950	0.32166
28	-0.03382	0.05211	-0.10718	0.07044	0.62053	0.14463	0.05371	0.05604	0.06354	0.05689	0.42165	0.14658	-0.02260	-0.04982	0.45386	0.01113	0.13983	0.48054	0.15175	-0.03480	0.36528	0.02839	0.04974	0.62439	0.01226	-0.16685	0.77167	-0.01634	-0.16940	0.70578	0.05074	0.08094	0.50800	-0.00025	0.06890	0.20619	-0.10860	-0.04264	0.55082	0.08049	0.07662	0.34552
29	-0.03458	0.04676	-0.12898	0.06328	0.64790	0.13611	0.04436	0.05696	0.03202	0.05227	0.44332	0.14258	-0.02508	-0.07823	0.49367	0.00341	0.10007	0.50902	0.14527	-0.05996	0.39197	0.01256	0.02053	0.63579	0.00690	-0.18158	0.78995	-0.01853	-0.18579	0.72996	0.04618	0.04018	0.52355	-0.00873	0.04508	0.22905	-0.10159	-0.07032	0.57801	0.06745	0.04622	0.37051
30	-0.03869	0.04275	-0.14736	0.05604	0.67471	0.12630	0.03492	0.05852	0.00306	0.04863	0.46580	0.13757	-0.03657	-0.10273	0.53393	-0.00538	0.06350	0.53735	0.13774	-0.08346	0.41978	-0.00268	-0.00545	0.64622	0.00017	-0.19364	0.80663	-0.01965	-0.19794	0.75192	0.04020	0.00292	0.54010	-0.01910	0.02254	0.25479	-0.09873	-0.09512	0.60637	0.05876	0.01832	0.39655
31	-0.04717	0.04197	-0.16262	0.04868	0.70093	0.11532	0.02488	0.05966	-0.02352	0.04575	0.48912	0.13170	-0.05512	-0.12365	0.57438	-0.01422	0.02983	0.56542	0.12726	-0.10532	0.44860	-0.01806	-0.02826	0.65619	-0.00798	-0.20356	0.82193	-0.02282	-0.20588	0.77161	0.03366	-0.03093	0.55765	-0.03116	0.00055	0.28333	-0.10277	-0.11740	0.63578	0.05177	-0.00701	0.42355
32	-0.05993	0.04496	-0.17525	0.04116	0.72652	0.10329	0.01420	0.05973	-0.04808	0.04349	0.51329	0.12504	-0.07767	-0.14169	0.61489	-0.02172	-0.00122	0.59309	0.11322	-0.12589	0.47833	-0.03345	-0.04837	0.66610	-0.01655	-0.21185	0.83604	-0.03068	-0.20986	0.78901	0.02728	-0.06144	0.57614	-0.04418	-0.02168	0.31468	-0.11482	-0.13759	0.66613	0.04404	-0.02990	0.45138
