	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d
17	-5.08046	1.86851	24.70282	4.36674	33.35062	3.50582	11.54665	1.53364	7.01337	1.93113	26.24133	1.97345	39.10615	2.16361	9.94791	2.58068	-5.80219	-5.70463	-7.40280	-2.56311	-3.92958	29.04053	25.30259	27.70165	17.85257	23.61679	38.63361	33.50700	32.87191	28.78516	32.95539	11.22643	9.62281	11.49997	11.47167	13.91237	7.83877	9.07191	6.59860	4.54419	26.71918	26.12164	23.67722	28.44726	38.75486	42.26099	37.56790	37.84085	12.76749	9.85300	10.62382	6.54734
18	-4.94420	2.14290	24.28168	4.77097	33.50591	3.34225	11.83625	1.67321	6.98927	2.07334	26.05253	2.25337	38.80524	2.34096	9.97708	2.47608	-6.22856	-5.84371	-7.16444	-1.94159	-3.54272	29.15408	25.32171	27.15174	16.77407	23.00683	38.16622	34.08372	33.12803	28.76532	33.38630	11.20189	10.16460	12.07935	11.16260	14.57282	8.11421	9.17395	6.16548	4.50346	26.87385	26.11897	22.94782	28.26948	38.19714	42.26351	37.22348	37.53683	12.51565	9.98841	10.78749	6.61676
19	-4.93825	2.32747	23.97067	5.12571	33.64128	3.29047	12.10829	1.90105	6.90671	2.18823	25.68027	2.53656	38.42020	2.55482	9.92664	2.31851	-6.73545	-6.16263	-6.85522	-1.73756	-3.20038	29.48201	25.35941	26.68210	16.06284	22.26698	37.92115	34.37639	33.54356	28.69753	33.66776	11.17879	10.56876	12.65918	10.93676	15.19793	8.33560	9.07812	5.85731	4.35581	26.85017	25.91051	22.07326	27.88715	37.52373	42.21826	36.70221	37.23660	12.10892	10.04055	10.86598	6.69110
20	-5.09131	2.24606	23.78599	5.18815	33.78856	3.14729	12.47765	2.04798	6.85337	2.13795	25.31374	2.79968	38.06121	2.76123	9.81038	2.17954	-6.99883	-6.72158	-6.44947	-2.48095	-2.80570	29.65713	25.63192	26.16343	16.17084	21.30664	37.81590	34.41047	34.00184	28.99637	33.71824	11.31193	10.76309	13.25936	11.32862	15.72525	8.42928	8.82963	5.78948	4.36510	26.56772	25.54831	21.34618	27.79276	36.77334	42.15393	36.14373	37.17382	11.74142	10.02966	10.75539	6.71505
21	-5.15762	2.16073	23.57660	5.20756	33.85673	3.12007	12.83821	2.14989	6.94078	1.92357	25.11870	3.03496	37.73114	2.96850	9.72653	2.09421	-7.10620	-7.01928	-5.93895	-3.22278	-2.50089	29.86147	25.74961	25.42585	16.45901	20.38705	37.92211	34.39732	34.30350	29.19082	33.46992	11.35001	10.76509	13.83811	12.15738	16.08046	8.53761	8.56528	5.93142	4.72883	26.16956	25.14504	20.97817	28.18201	35.87273	42.06673	35.74529	37.23981	11.64029	9.99263	10.51381	6.75937
22	-5.11122	2.01162	23.29935	5.27734	33.78446	3.23525	13.03147	2.32704	7.18459	1.69359	25.08358	3.31532	37.39232	3.18876	9.71917	2.05010	-7.11460	-6.91985	-5.37883	-3.57561	-2.56718	30.16602	25.52814	24.45666	16.53233	19.81359	38.20819	34.28984	34.34463	29.21463	32.86500	11.00589	10.62490	14.29405	13.01179	16.22072	8.79578	8.43619	6.16818	5.33819	25.86933	24.83249	20.80685	28.82566	34.98965	41.93429	35.37032	37.27503	11.74561	9.98025	10.28094	6.86987
23	-5.01395	1.82209	23.00616	5.32774	33.61706	3.29524	12.99354	2.55530	7.44990	1.61512	25.06693	3.51816	37.08943	3.34814	9.73166	1.97772	-6.77784	-6.90541	-4.95799	-3.44896	-2.97954	30.17117	25.45361	23.50420	16.39321	19.50861	38.39332	34.10686	34.15820	29.44322	31.98367	10.37366	10.41144	14.54445	13.49305	16.14510	9.11279	8.50877	6.43210	5.74593	25.69196	24.67689	20.67379	29.22505	34.38542	41.74337	34.94012	37.28882	11.73541	10.01345	10.17442	7.00334
24	-5.08405	1.68639	22.93032	5.28953	33.43986	3.41489	12.84526	2.64660	7.55767	1.72380	24.95068	3.46379	36.91526	3.36694	9.73566	1.91070	-6.33490	-7.24161	-4.87177	-3.44510	-3.52688	30.03197	25.86319	22.83536	16.64249	19.27855	38.57896	34.08028	33.80615	29.73230	31.00158	10.00700	10.19550	14.60444	13.50672	15.91263	9.25880	8.73408	6.61717	5.62063	25.44094	24.64145	20.63871	29.08160	34.14016	41.50668	34.66974	37.34446	11.60548	10.05936	10.21139	7.06639
25	-5.41794	1.44070	23.14163	5.04340	33.22741	3.68614	12.71234	2.53003	7.50139	1.89358	24.72900	3.24272	36.81374	3.31686	9.75518	1.89062	-5.96992	-7.62967	-5.10373	-4.25340	-4.13297	29.93460	26.39564	22.44230	17.82284	19.11274	38.86968	34.11225	33.28764	29.80682	30.06065	10.12013	10.07574	14.54081	13.22751	15.59752	9.11779	8.98850	6.69689	5.20236	24.91443	24.62175	20.72148	28.65833	34.01250	41.25726	34.56707	37.41814	11.52814	10.07810	10.33194	7.08253
26	-5.74993	1.19617	23.28338	4.75933	32.90566	3.90601	12.60013	2.35413	7.39935	1.95483	24.42703	3.08756	36.61640	3.33061	9.79274	1.87153	-5.55200	-7.83186	-5.40400	-5.13452	-4.82728	29.65385	26.70620	22.06934	18.87033	19.11717	38.93544	33.98835	32.62599	29.68335	29.29515	10.27229	10.11083	14.40512	12.93198	15.28044	8.76509	9.14986	6.75750	4.92495	24.11787	24.51993	20.76214	28.30820	33.77264	41.01618	34.31800	37.35878	11.53358	10.05632	10.43355	7.14752
27	-5.93373	1.09903	23.21622	4.66298	32.60803	3.85706	12.52386	2.25278	7.30976	1.91584	24.09210	2.95746	36.32534	3.35837	9.84001	1.85731	-5.33238	-7.89311	-5.52442	-5.37844	-5.54029	29.37681	26.85825	21.51821	19.04008	19.28775	38.58880	33.81705	31.95594	29.82925	28.84912	10.19190	10.19462	14.24557	12.95629	15.03094	8.35906	9.16580	6.91654	4.79764	23.26959	24.30108	20.83999	27.95775	33.46101	40.76696	34.01030	37.06311	11.57424	10.00152	10.55319	7.23107
28	-6.09373	1.06542	23.20215	4.71061	32.37038	3.69299	12.39223	2.21984	7.17846	1.88292	23.76128	2.74199	36.10805	3.21709	9.95825	1.97768	-5.57954	-7.92728	-5.38180	-5.45621	-6.12379	29.44329	27.02572	20.80252	19.20695	19.53225	38.05462	33.77257	31.45591	29.72770	28.84108	9.99566	10.23489	14.11085	12.72823	14.89155	7.96636	9.06221	7.04637	4.63890	22.61128	23.97926	21.00617	27.44842	33.36684	40.45468	34.01056	36.60011	11.80176	9.92154	10.88537	7.22435
