	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
17	0.53889	0.07161	-0.16367	0.08803	0.69060	0.07762	0.56218	0.16946	-0.37362	0.13069	0.60773	0.08226	0.66507	-0.44568	0.56232	0.45280	-0.27504	0.66905	0.36694	-0.29914	0.63902	0.73715	-0.51712	0.70742	0.50708	-0.15293	0.61416	0.59972	-0.06012	0.68058	0.47956	-0.23252	0.52216	0.59597	-0.16657	0.79862
18	0.55846	0.07395	-0.26242	0.09262	0.68177	0.06960	0.58258	0.18090	-0.43684	0.13193	0.63418	0.08314	0.68948	-0.50418	0.58901	0.47326	-0.37496	0.66373	0.38644	-0.37082	0.66402	0.77602	-0.58336	0.73589	0.51993	-0.23779	0.61162	0.62254	-0.15289	0.67392	0.47838	-0.28902	0.54779	0.61810	-0.28403	0.77782
19	0.58019	0.07611	-0.35373	0.09729	0.67218	0.06081	0.59901	0.19134	-0.49368	0.13259	0.65882	0.08314	0.71160	-0.55612	0.61426	0.49812	-0.46553	0.65852	0.40527	-0.43596	0.68719	0.80740	-0.64215	0.76130	0.53300	-0.31520	0.60912	0.65029	-0.24051	0.66592	0.47177	-0.34049	0.57253	0.63936	-0.39366	0.75518
20	0.60506	0.07589	-0.43534	0.10162	0.66310	0.05165	0.61526	0.20184	-0.54399	0.13318	0.68136	0.08218	0.73443	-0.60138	0.63787	0.53303	-0.54428	0.65466	0.42432	-0.49421	0.70805	0.83688	-0.69414	0.78335	0.54700	-0.38349	0.60755	0.68138	-0.32079	0.65769	0.46543	-0.38622	0.59619	0.65883	-0.49278	0.73250
21	0.63310	0.07242	-0.50568	0.10511	0.65578	0.04246	0.63233	0.21310	-0.58777	0.13383	0.70156	0.08023	0.75827	-0.64014	0.65961	0.57603	-0.60982	0.65345	0.44197	-0.54520	0.72630	0.86711	-0.73960	0.80179	0.56697	-0.44245	0.60789	0.71075	-0.39178	0.65048	0.46198	-0.42613	0.61853	0.67863	-0.57868	0.71130
22	0.65857	0.06722	-0.56375	0.10705	0.65147	0.03369	0.64704	0.22398	-0.62471	0.13430	0.71929	0.07741	0.78018	-0.67273	0.67935	0.61278	-0.66112	0.65623	0.45383	-0.58798	0.74196	0.89346	-0.77780	0.81657	0.59115	-0.49229	0.61114	0.73104	-0.45216	0.64556	0.46070	-0.46033	0.63927	0.69933	-0.64944	0.69295
23	0.67204	0.06535	-0.60897	0.10700	0.65128	0.02625	0.65425	0.23192	-0.65442	0.13422	0.73465	0.07393	0.79625	-0.69977	0.69704	0.62768	-0.69762	0.66414	0.45561	-0.62116	0.75530	0.90632	-0.80776	0.82801	0.60524	-0.53206	0.61819	0.73769	-0.50184	0.64403	0.45880	-0.48899	0.65823	0.71757	-0.70436	0.67876
24	0.66881	0.06956	-0.64162	0.10505	0.65604	0.02201	0.65056	0.23568	-0.67668	0.13362	0.74796	0.07014	0.80362	-0.72208	0.71283	0.61926	-0.72004	0.67793	0.44626	-0.64375	0.76677	0.89996	-0.82910	0.83685	0.59878	-0.56123	0.62966	0.73053	-0.54140	0.64669	0.45240	-0.51180	0.67538	0.72668	-0.74383	0.66986
25	0.65191	0.07563	-0.66288	0.10140	0.66608	0.02280	0.63698	0.23612	-0.69145	0.13302	0.75973	0.06643	0.80075	-0.74042	0.72705	0.59756	-0.73044	0.69766	0.42983	-0.65561	0.77687	0.87842	-0.84192	0.84416	0.57624	-0.58060	0.64573	0.71344	-0.57174	0.65393	0.43892	-0.52786	0.69082	0.72041	-0.76874	0.66700
26	0.62673	0.07762	-0.67419	0.09623	0.68121	0.02771	0.61790	0.23470	-0.69884	0.13293	0.77058	0.06318	0.78834	-0.75511	0.74028	0.57139	-0.73176	0.72266	0.41253	-0.65739	0.78606	0.85148	-0.84639	0.85115	0.54865	-0.59146	0.66610	0.69049	-0.59374	0.66568	0.41924	-0.53649	0.70482	0.69638	-0.77979	0.67040
