	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
29	0.10101	0.02728	0.00595	0.00906	-0.02785	0.01263	0.12069	0.03513	0.02207	0.02917	-0.01693	0.03379	0.07655	-0.01489	-0.06720	0.07931	0.00156	-0.02582	0.12867	0.02937	0.00102	0.11599	0.05552	0.00440	0.09587	0.00044	-0.03141	0.08819	0.00231	-0.04226	0.16154	0.01828	-0.00596	0.14065	0.01949	-0.01190
30	0.09822	0.02782	0.00515	0.00957	-0.02609	0.01243	0.11440	0.03470	0.02320	0.02792	-0.01398	0.03242	0.07161	-0.01183	-0.06232	0.07384	-0.00071	-0.02538	0.12469	0.02923	0.00350	0.10670	0.05580	0.00564	0.09330	-0.00002	-0.02985	0.08764	0.00191	-0.03947	0.15459	0.01959	-0.00274	0.13812	0.01940	-0.00967
31	0.09442	0.02865	0.00415	0.00961	-0.02413	0.01182	0.10952	0.03393	0.02389	0.02650	-0.01143	0.03104	0.06713	-0.00898	-0.05780	0.06695	-0.00286	-0.02445	0.12319	0.02888	0.00568	0.10089	0.05534	0.00628	0.08956	-0.00046	-0.02755	0.08650	0.00162	-0.03640	0.14687	0.02031	0.00011	0.13469	0.01829	-0.00811
32	0.08957	0.02984	0.00314	0.00920	-0.02191	0.01089	0.10686	0.03284	0.02449	0.02491	-0.00908	0.02970	0.06454	-0.00618	-0.05351	0.05899	-0.00455	-0.02303	0.12389	0.02879	0.00784	0.09908	0.05433	0.00655	0.08441	-0.00068	-0.02449	0.08428	0.00133	-0.03311	0.13994	0.02100	0.00278	0.13058	0.01644	-0.00699
33	0.08357	0.03115	0.00227	0.00847	-0.01940	0.00982	0.10618	0.03178	0.02521	0.02310	-0.00673	0.02841	0.06411	-0.00323	-0.04923	0.05038	-0.00561	-0.02118	0.12574	0.02917	0.01024	0.09979	0.05288	0.00666	0.07756	-0.00052	-0.02071	0.08074	0.00096	-0.02968	0.13509	0.02203	0.00543	0.12558	0.01425	-0.00602
34	0.07660	0.03211	0.00169	0.00761	-0.01662	0.00883	0.10651	0.03092	0.02613	0.02104	-0.00416	0.02719	0.06520	-0.00005	-0.04476	0.04174	-0.00602	-0.01900	0.12763	0.03000	0.01305	0.10058	0.05105	0.00681	0.06951	0.00007	-0.01642	0.07578	0.00050	-0.02615	0.13261	0.02350	0.00824	0.11936	0.01219	-0.00491
35	0.06916	0.03211	0.00150	0.00681	-0.01361	0.00809	0.10681	0.03055	0.02721	0.01880	-0.00125	0.02606	0.06668	0.00338	-0.03993	0.03414	-0.00580	-0.01657	0.12909	0.03118	0.01638	0.09939	0.04897	0.00719	0.06134	0.00109	-0.01191	0.06951	0.00006	-0.02259	0.13207	0.02531	0.01138	0.11165	0.01064	-0.00340
36	0.06190	0.03055	0.00175	0.00620	-0.01047	0.00771	0.10657	0.03105	0.02845	0.01649	0.00215	0.02506	0.06755	0.00705	-0.03468	0.02868	-0.00502	-0.01400	0.13028	0.03261	0.02028	0.09565	0.04688	0.00800	0.05410	0.00244	-0.00745	0.06251	-0.00024	-0.01905	0.13280	0.02726	0.01500	0.10234	0.00981	-0.00136
37	0.05562	0.02715	0.00240	0.00583	-0.00732	0.00765	0.10600	0.03250	0.02986	0.01425	0.00612	0.02424	0.06752	0.01094	-0.02897	0.02629	-0.00374	-0.01144	0.13148	0.03424	0.02477	0.09066	0.04509	0.00942	0.04876	0.00393	-0.00332	0.05568	-0.00035	-0.01569	0.13435	0.02919	0.01924	0.09174	0.00976	0.00118
38	0.05099	0.02206	0.00337	0.00563	-0.00433	0.00780	0.10599	0.03442	0.03155	0.01217	0.01070	0.02356	0.06737	0.01514	-0.02274	0.02732	-0.00206	-0.00910	0.13330	0.03613	0.02978	0.08661	0.04395	0.01158	0.04632	0.00543	0.00030	0.04973	-0.00022	-0.01258	0.13666	0.03099	0.02416	0.08060	0.01034	0.00405
