	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d
17	0.26018	0.36801	-0.38217	0.21373	0.79826	0.05046	0.52672	0.52562	-0.66403	0.37446	0.72753	0.15054	0.55120	-0.23311	0.84408	-0.15350	-0.28637	0.80651	0.80167	-0.74405	0.91071	1.25355	-1.24315	0.87271	-0.05453	-0.26987	0.61337	0.51004	-0.65118	0.61595	0.12286	-0.41192	0.62491	0.38284	-0.62704	0.74418
18	0.28051	0.40450	-0.41347	0.23704	0.80631	0.05399	0.54757	0.55379	-0.70550	0.38282	0.75178	0.13272	0.57789	-0.28856	0.86158	-0.18011	-0.26501	0.80364	0.88605	-0.86337	0.89067	1.28261	-1.25997	0.89887	-0.06500	-0.27326	0.61959	0.52968	-0.68329	0.66418	0.10449	-0.44759	0.68560	0.44374	-0.68685	0.75370
19	0.29677	0.43471	-0.43884	0.25581	0.81341	0.05834	0.55873	0.58607	-0.73559	0.39655	0.77174	0.12168	0.59559	-0.33740	0.87704	-0.20192	-0.24931	0.80077	0.95943	-0.96784	0.86912	1.30456	-1.26880	0.92215	-0.08946	-0.26866	0.62289	0.54699	-0.70502	0.71638	0.07212	-0.46764	0.72817	0.49665	-0.72981	0.76243
20	0.30186	0.46868	-0.45333	0.27485	0.81656	0.06508	0.56570	0.61870	-0.75827	0.41288	0.79258	0.11361	0.60270	-0.37859	0.89088	-0.23815	-0.22358	0.78905	1.02177	-1.05386	0.84850	1.32331	-1.27563	0.94559	-0.12635	-0.25906	0.63930	0.56395	-0.72064	0.76948	0.04583	-0.48217	0.76004	0.54103	-0.75783	0.76976
21	0.30215	0.49409	-0.46308	0.28798	0.81798	0.07388	0.57247	0.65189	-0.77856	0.42960	0.81267	0.11285	0.59816	-0.41124	0.90329	-0.26824	-0.20454	0.77591	1.07414	-1.11929	0.83077	1.34881	-1.29013	0.96875	-0.16562	-0.24902	0.65224	0.58086	-0.73532	0.82027	0.02418	-0.49902	0.79130	0.57654	-0.77346	0.77475
22	0.29732	0.51169	-0.46815	0.29597	0.81681	0.08470	0.56461	0.68070	-0.78700	0.44258	0.82531	0.11452	0.58272	-0.43469	0.91414	-0.29342	-0.19034	0.75978	1.11786	-1.16348	0.81731	1.34072	-1.28744	0.97430	-0.20938	-0.23347	0.65670	0.59655	-0.75307	0.86547	-0.02268	-0.49753	0.81279	0.60265	-0.77943	0.77652
23	0.28265	0.53092	-0.46452	0.30580	0.81073	0.09930	0.54759	0.69549	-0.78488	0.44700	0.83178	0.11336	0.55926	-0.44873	0.92306	-0.32946	-0.16692	0.73466	1.15358	-1.18714	0.80884	1.28929	-1.25672	0.96121	-0.26085	-0.20899	0.66099	0.60853	-0.77482	0.90192	-0.05259	-0.49673	0.82594	0.61816	-0.77792	0.77448
24	0.26473	0.54213	-0.45743	0.31106	0.80330	0.11292	0.53309	0.70995	-0.78115	0.44904	0.83282	0.11178	0.53114	-0.45365	0.92953	-0.35906	-0.14828	0.71189	1.18042	-1.19202	0.80537	1.25250	-1.23578	0.94942	-0.29776	-0.19716	0.67095	0.61557	-0.79911	0.92740	-0.08527	-0.48167	0.81096	0.62211	-0.77036	0.76849
25	0.24026	0.55226	-0.44472	0.31556	0.79368	0.12547	0.51871	0.71265	-0.77600	0.44357	0.83295	0.10803	0.50038	-0.45021	0.93287	-0.39403	-0.12645	0.68929	1.19582	-1.18073	0.80628	1.20297	-1.20956	0.93383	-0.33078	-0.19004	0.68070	0.61782	-0.82308	0.94114	-0.09228	-0.47658	0.80280	0.61444	-0.75750	0.75888
26	0.20891	0.56240	-0.42575	0.32094	0.78053	0.13798	0.49145	0.71538	-0.75908	0.44085	0.82464	0.10602	0.46710	-0.43953	0.93243	-0.43622	-0.09813	0.66295	1.19657	-1.15655	0.81049	1.13406	-1.17142	0.91152	-0.38401	-0.16555	0.68043	0.61516	-0.84291	0.94362	-0.10453	-0.45895	0.77714	0.59585	-0.73958	0.74623
27	0.17833	0.56016	-0.40537	0.32046	0.76487	0.14883	0.46176	0.71765	-0.73900	0.43990	0.81549	0.10533	0.43078	-0.42286	0.92769	-0.46363	-0.07652	0.63583	1.18020	-1.12302	0.81670	1.07612	-1.13906	0.89391	-0.44085	-0.13356	0.67291	0.60672	-0.85467	0.93617	-0.11338	-0.44471	0.75775	0.56784	-0.71673	0.73110
28	0.14196	0.55808	-0.38011	0.32020	0.74619	0.15859	0.42597	0.71637	-0.71341	0.43974	0.80554	0.10639	0.39137	-0.40137	0.91842	-0.49734	-0.04981	0.60620	1.14605	-1.08357	0.82352	1.01996	-1.10998	0.88712	-0.48596	-0.10698	0.66598	0.59158	-0.85530	0.92047	-0.14180	-0.41122	0.73062	0.53184	-0.68915	0.71395
29	0.10036	0.55531	-0.34972	0.32090	0.72492	0.16677	0.38569	0.70863	-0.68387	0.43576	0.79497	0.10704	0.34928	-0.37607	0.90462	-0.53586	-0.01645	0.57512	1.09519	-1.04097	0.82966	0.96266	-1.07621	0.88288	-0.51913	-0.08829	0.66286	0.56956	-0.84312	0.89821	-0.17983	-0.37075	0.70123	0.48766	-0.65663	0.69502
30	0.05888	0.54285	-0.31754	0.31768	0.70255	0.17157	0.33743	0.69532	-0.64736	0.42970	0.78007	0.10690	0.30483	-0.34803	0.88647	-0.56341	0.01428	0.54681	1.02975	-0.99703	0.83398	0.88871	-1.02703	0.86647	-0.56216	-0.05910	0.65034	0.54107	-0.81781	0.87084	-0.21021	-0.33585	0.67874	0.43522	-0.61888	0.67439
31	0.01686	0.52452	-0.28571	0.30829	0.68034	0.17156	0.28396	0.68562	-0.60476	0.42817	0.76125	0.11145	0.25809	-0.31829	0.86431	-0.58488	0.03757	0.52473	0.95255	-0.95259	0.83554	0.82518	-0.98123	0.85202	-0.61202	-0.02265	0.62961	0.50674	-0.78027	0.83950	-0.25265	-0.28705	0.64957	0.37737	-0.57643	0.65197
32	-0.02067	0.49545	-0.25527	0.29256	0.65748	0.16829	0.23010	0.67496	-0.56147	0.42573	0.74267	0.11767	0.20944	-0.28775	0.83865	-0.58933	0.05218	0.50603	0.86701	-0.90768	0.83363	0.77334	-0.94100	0.84500	-0.65419	0.00946	0.60807	0.46672	-0.73222	0.80500	-0.30240	-0.23594	0.62168	0.31787	-0.53024	0.62774
33	-0.05836	0.46546	-0.22236	0.27738	0.63170	0.16552	0.17133	0.65210	-0.51273	0.41634	0.71913	0.12042	0.15961	-0.25696	0.81008	-0.59281	0.07070	0.48309	0.77678	-0.86172	0.82779	0.68803	-0.87590	0.82008	-0.69452	0.04734	0.57955	0.42059	-0.67587	0.76798	-0.33423	-0.19751	0.60025	0.25812	-0.48083	0.60192
34	-0.10573	0.45183	-0.18320	0.26971	0.60230	0.16506	0.11757	0.62879	-0.46264	0.40598	0.69161	0.12255	0.10980	-0.22638	0.77931	-0.62496	0.10550	0.45258	0.68499	-0.81392	0.81782	0.62089	-0.81065	0.78651	-0.72999	0.08552	0.54992	0.36858	-0.61385	0.72906	-0.35661	-0.16031	0.57474	0.19797	-0.42871	0.57500
35	-0.14482	0.42552	-0.14935	0.25284	0.57551	0.15955	0.06636	0.60680	-0.41304	0.39349	0.66299	0.12356	0.06146	-0.19659	0.74711	-0.63417	0.12377	0.43165	0.59356	-0.76346	0.80371	0.56869	-0.74868	0.75153	-0.75692	0.11537	0.52625	0.31215	-0.54896	0.68900	-0.38567	-0.11947	0.54445	0.13825	-0.37525	0.54775
36	-0.18195	0.40045	-0.11672	0.23573	0.54975	0.15236	0.01399	0.58407	-0.36149	0.38105	0.63060	0.12609	0.01634	-0.16831	0.71442	-0.64285	0.14054	0.41377	0.50342	-0.70975	0.78558	0.50962	-0.68351	0.71234	-0.78881	0.15057	0.49674	0.25320	-0.48371	0.64876	-0.40751	-0.08104	0.50957	0.08067	-0.32238	0.52107
37	-0.22435	0.39094	-0.08078	0.22768	0.52273	0.14791	-0.04118	0.56610	-0.30780	0.37171	0.59725	0.12926	-0.02412	-0.14204	0.68223	-0.67484	0.17127	0.39010	0.41526	-0.65272	0.76372	0.45040	-0.62096	0.67496	-0.82816	0.19222	0.46383	0.19419	-0.41999	0.60949	-0.43761	-0.03755	0.47425	0.02591	-0.27156	0.49586
38	-0.25244	0.36288	-0.05423	0.20822	0.50023	0.13975	-0.09386	0.54957	-0.25654	0.36178	0.56732	0.12995	-0.05973	-0.11767	0.65158	-0.67103	0.17833	0.37606	0.33023	-0.59291	0.73854	0.40170	-0.56440	0.64468	-0.86493	0.23149	0.43546	0.12942	-0.35904	0.57238	-0.46569	0.00215	0.44552	-0.02656	-0.22336	0.47304
39	-0.28439	0.34674	-0.02661	0.19453	0.48038	0.13163	-0.14651	0.52467	-0.20391	0.34574	0.53442	0.12801	-0.09146	-0.09451	0.62340	-0.68468	0.19277	0.36432	0.24989	-0.53138	0.71062	0.33181	-0.49215	0.59973	-0.88331	0.26192	0.40680	0.06984	-0.30163	0.53853	-0.50079	0.04366	0.41641	-0.07702	-0.17808	0.45342
40	-0.32290	0.34720	0.00500	0.19151	0.46113	0.12728	-0.19592	0.50051	-0.15486	0.33046	0.50400	0.12510	-0.12040	-0.07183	0.59854	-0.72380	0.22300	0.34726	0.17594	-0.46950	0.68067	0.26182	-0.42706	0.55957	-0.90311	0.29407	0.37540	0.01363	-0.24823	0.50874	-0.52787	0.07641	0.39563	-0.12450	-0.13616	0.43759
