	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d
17	0.15372	0.18467	0.03708	0.13016	0.17319	0.03374	0.09527	0.20645	0.11107	0.14072	0.13828	0.05880	0.10679	-0.03989	0.13742	0.35733	0.18736	0.17767	0.15035	0.04858	0.08740	0.30889	0.28212	0.22600	0.19651	0.20870	0.14872	-0.23658	-0.07935	0.14870	0.05719	0.09529	0.08058	-0.00296	-0.03624	0.20446
18	0.17760	0.17834	0.05505	0.12952	0.18129	0.03450	0.10727	0.18954	0.12521	0.12691	0.15177	0.05787	0.13661	-0.01694	0.14541	0.37286	0.20457	0.18424	0.12927	0.07621	0.11110	0.31276	0.27635	0.23992	0.20529	0.21615	0.14878	-0.19404	-0.04967	0.16804	0.08305	0.10701	0.09099	0.02332	-0.02249	0.21422
19	0.20260	0.16908	0.07318	0.13053	0.18980	0.03468	0.12154	0.17136	0.14047	0.11682	0.16689	0.05572	0.16351	0.00283	0.15331	0.38780	0.22380	0.19377	0.10913	0.09901	0.13399	0.31603	0.27260	0.25073	0.21787	0.23306	0.15932	-0.14306	-0.02204	0.18589	0.10771	0.11972	0.10451	0.05649	-0.00707	0.22233
20	0.22467	0.15376	0.08843	0.12829	0.19328	0.03417	0.12725	0.14574	0.14510	0.10151	0.17436	0.05684	0.18639	0.01909	0.16090	0.39396	0.23647	0.18992	0.09191	0.11679	0.15408	0.30598	0.25640	0.25375	0.20244	0.22979	0.16153	-0.08744	0.00298	0.20106	0.12334	0.11955	0.10136	0.09367	0.00973	0.22900
21	0.24612	0.14021	0.10372	0.12820	0.19719	0.03416	0.14489	0.13267	0.15392	0.09239	0.18335	0.05589	0.20511	0.03206	0.16783	0.40226	0.25172	0.18905	0.07971	0.12984	0.17009	0.32061	0.24406	0.25630	0.21005	0.24426	0.17082	-0.03126	0.02549	0.21327	0.14535	0.12593	0.10626	0.13100	0.02738	0.23468
22	0.26514	0.12879	0.11926	0.13062	0.20268	0.03381	0.16899	0.13047	0.16938	0.09147	0.19283	0.05730	0.22052	0.04246	0.17379	0.41030	0.27008	0.19440	0.07456	0.13866	0.18150	0.35292	0.25277	0.26688	0.22831	0.26745	0.18007	0.02126	0.04609	0.22311	0.16787	0.14194	0.11257	0.16460	0.04525	0.23986
23	0.27789	0.11446	0.13265	0.13090	0.20615	0.03451	0.17959	0.11770	0.17615	0.08298	0.19427	0.05815	0.23415	0.05145	0.17862	0.40777	0.28365	0.19497	0.07787	0.14380	0.18846	0.35564	0.25074	0.26457	0.21421	0.26694	0.17420	0.06620	0.06580	0.23190	0.18401	0.15346	0.11223	0.19175	0.06284	0.24487
24	0.28786	0.10236	0.14474	0.12960	0.20879	0.03603	0.20105	0.11267	0.18935	0.07600	0.19677	0.05547	0.24719	0.06011	0.18243	0.40430	0.29394	0.19409	0.08989	0.14577	0.19164	0.36554	0.24422	0.25589	0.21238	0.27573	0.17938	0.10111	0.08591	0.24098	0.23633	0.19511	0.11597	0.21208	0.08017	0.24985
25	0.29602	0.09171	0.15716	0.12820	0.21193	0.03743	0.21397	0.10454	0.19962	0.07569	0.20132	0.05697	0.26034	0.06942	0.18552	0.40021	0.30428	0.19551	0.10935	0.14517	0.19200	0.36981	0.24343	0.25474	0.22649	0.29722	0.19441	0.12599	0.10755	0.25093	0.23819	0.20473	0.11453	0.22751	0.09779	0.25476
26	0.30384	0.08181	0.17054	0.12648	0.21512	0.03873	0.22398	0.09350	0.21203	0.07502	0.20574	0.05851	0.27395	0.08014	0.18819	0.39639	0.31508	0.19767	0.13381	0.14290	0.19063	0.36380	0.24853	0.25833	0.22769	0.31032	0.19976	0.14322	0.13133	0.26131	0.25140	0.22706	0.11870	0.24118	0.11640	0.25950
