	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d
17	0.06446	0.05529	0.00421	0.04474	-0.00112	0.02424	0.09861	0.11897	0.05319	0.03961	0.08348	0.05192	0.05801	0.01557	0.00757	0.12270	-0.04512	-0.02851	0.09827	0.03603	0.05905	0.16121	0.06479	0.14276	0.21490	0.08938	0.11462	-0.09843	-0.00722	0.00850	0.11713	0.08298	0.09248	0.01268	0.04217	0.01758
18	0.07350	0.05635	0.00476	0.04303	0.00148	0.02238	0.10250	0.10896	0.05140	0.04117	0.08520	0.04567	0.06996	0.01549	0.01345	0.13153	-0.04263	-0.02433	0.07972	0.03687	0.06986	0.14220	0.04591	0.12579	0.22440	0.09362	0.11876	-0.06914	-0.00717	0.01334	0.13530	0.08779	0.09824	0.01901	0.04141	0.01533
19	0.08225	0.05393	0.00439	0.04178	0.00332	0.02181	0.11353	0.10469	0.05440	0.04304	0.09095	0.04586	0.07975	0.01506	0.01848	0.13738	-0.04170	-0.02167	0.06144	0.03565	0.07840	0.15272	0.05066	0.13109	0.23547	0.09597	0.12179	-0.03788	-0.00582	0.01708	0.15591	0.09551	0.10637	0.02961	0.03979	0.01315
20	0.09091	0.04892	0.00425	0.03962	0.00528	0.02118	0.11986	0.09764	0.05711	0.04436	0.09531	0.04674	0.08721	0.01453	0.02268	0.14157	-0.03950	-0.01830	0.04451	0.03277	0.08443	0.16348	0.05952	0.13994	0.22597	0.09227	0.11691	-0.00824	-0.00404	0.01951	0.17355	0.10503	0.11578	0.04394	0.03771	0.01146
21	0.09908	0.04241	0.00365	0.03807	0.00682	0.02130	0.12346	0.09511	0.05243	0.04510	0.09214	0.04218	0.09284	0.01403	0.02602	0.14425	-0.03853	-0.01610	0.03050	0.02883	0.08803	0.15593	0.03982	0.12029	0.22943	0.08962	0.11431	0.01639	-0.00299	0.02030	0.18507	0.10688	0.11775	0.06013	0.03544	0.01053
22	0.10655	0.03641	0.00317	0.03630	0.00854	0.02099	0.13643	0.10262	0.05314	0.05195	0.09353	0.04421	0.09742	0.01352	0.02851	0.14666	-0.03719	-0.01333	0.02130	0.02452	0.08948	0.17129	0.03097	0.10977	0.24310	0.09065	0.11572	0.03398	-0.00342	0.01953	0.21246	0.12299	0.13314	0.07558	0.03316	0.01045
23	0.11308	0.03228	0.00384	0.03266	0.01134	0.01884	0.14647	0.10648	0.05728	0.05544	0.09726	0.04804	0.10165	0.01288	0.03028	0.14953	-0.03239	-0.00740	0.01857	0.02050	0.08921	0.19788	0.04546	0.12077	0.24276	0.09319	0.11629	0.04470	-0.00503	0.01814	0.22846	0.13231	0.14189	0.08807	0.03102	0.01113
24	0.11739	0.02831	0.00393	0.03007	0.01351	0.01752	0.15538	0.11174	0.05639	0.06233	0.09600	0.05012	0.10583	0.01200	0.03154	0.14965	-0.02935	-0.00345	0.02307	0.01729	0.08771	0.19377	0.03118	0.10389	0.24697	0.09605	0.11860	0.05031	-0.00710	0.01723	0.26279	0.14456	0.15259	0.09669	0.02913	0.01243
25	0.11966	0.02399	0.00291	0.02943	0.01470	0.01760	0.15962	0.11051	0.05439	0.06653	0.09399	0.05153	0.11005	0.01087	0.03255	0.14697	-0.02968	-0.00263	0.03420	0.01512	0.08544	0.18673	0.01827	0.08835	0.25917	0.09946	0.12273	0.05301	-0.00909	0.01748	0.26501	0.14819	0.15594	0.10197	0.02754	0.01419
26	0.12091	0.01967	0.00112	0.03022	0.01533	0.01874	0.16909	0.11140	0.05775	0.07067	0.09671	0.05437	0.11435	0.00954	0.03359	0.14302	-0.03241	-0.00386	0.05023	0.01403	0.08284	0.19330	0.02360	0.09046	0.26774	0.10329	0.12577	0.05487	-0.01066	0.01907	0.27932	0.15849	0.16541	0.10535	0.02624	0.01626
27	0.12210	0.01571	-0.00097	0.03166	0.01577	0.02056	0.17731	0.11107	0.05943	0.07517	0.09762	0.05696	0.11859	0.00805	0.03483	0.13927	-0.03616	-0.00602	0.06872	0.01387	0.08028	0.19407	0.02150	0.08564	0.26803	0.10431	0.12505	0.05735	-0.01163	0.02181	0.29837	0.16910	0.17531	0.10844	0.02519	0.01849
28	0.12416	0.01285	-0.00281	0.03281	0.01686	0.02176	0.17935	0.10483	0.05852	0.07728	0.09592	0.05707	0.12229	0.00648	0.03639	0.13785	-0.03926	-0.00659	0.08719	0.01447	0.07810	0.18498	0.01314	0.07508	0.26617	0.10557	0.12483	0.06112	-0.01188	0.02533	0.29730	0.17128	0.17628	0.11235	0.02436	0.02077
29	0.12625	0.00958	-0.00388	0.03291	0.01867	0.02206	0.18171	0.10026	0.06106	0.07780	0.09781	0.05663	0.12481	0.00491	0.03826	0.13647	-0.04030	-0.00523	0.10371	0.01562	0.07652	0.17415	0.01755	0.07750	0.26837	0.11023	0.12877	0.06594	-0.01137	0.02914	0.29641	0.17327	0.17710	0.11748	0.02373	0.02300
