	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d
18	0.55149	0.15734	0.12230	0.10094	0.53137	0.10484	0.27416	0.19619	0.10379	0.13661	0.30415	0.08929	0.24301	0.24305	0.17402	0.41166	0.09241	0.50360	0.36784	0.06401	0.28158	0.69207	0.55567	0.04183	0.21377	0.45382	0.70632	0.30266	0.02116	0.33887	0.33319	0.21031	0.40559	-0.03523	0.24819	0.30707	0.74194	0.57442	0.19973	-0.02422	0.55045	0.56845	0.49254	-0.05744	0.41919
19	0.55536	0.15316	0.08074	0.09404	0.53356	0.09508	0.27816	0.20438	0.05937	0.14807	0.31005	0.08483	0.25469	0.18183	0.18195	0.41086	0.06321	0.50888	0.37998	0.03683	0.29086	0.69720	0.55448	-0.00183	0.14722	0.45562	0.68936	0.31743	-0.03642	0.34530	0.35671	0.19153	0.42280	-0.05242	0.23479	0.31871	0.74699	0.56590	0.13548	-0.05118	0.54962	0.57505	0.49111	-0.12020	0.41343
20	0.55442	0.15079	0.04924	0.08856	0.53949	0.08515	0.27915	0.21099	0.02857	0.15943	0.31952	0.08173	0.26060	0.13809	0.19187	0.40495	0.04834	0.52050	0.38899	0.02006	0.30303	0.70162	0.55116	-0.03081	0.08785	0.46332	0.67413	0.32648	-0.07774	0.35690	0.37288	0.17867	0.44187	-0.06746	0.22906	0.33380	0.74598	0.54994	0.07908	-0.06768	0.54929	0.58784	0.48716	-0.16664	0.41198
21	0.54802	0.14908	0.02743	0.08614	0.54964	0.07610	0.27692	0.21495	0.00949	0.16975	0.33282	0.08034	0.25998	0.11077	0.20399	0.39504	0.04480	0.53848	0.39513	0.01181	0.31811	0.70093	0.54632	-0.04609	0.03714	0.47730	0.66235	0.32887	-0.10617	0.37386	0.38086	0.17143	0.46218	-0.07909	0.22946	0.35192	0.73766	0.52732	0.03249	-0.07521	0.55097	0.60657	0.47970	-0.19844	0.41623
22	0.53610	0.14740	0.01417	0.08717	0.56400	0.06897	0.26991	0.21713	-0.00005	0.17869	0.34980	0.08070	0.25222	0.09792	0.21832	0.38115	0.04934	0.56222	0.39755	0.01012	0.33581	0.69197	0.54059	-0.04960	-0.00431	0.49736	0.65523	0.32377	-0.12494	0.39578	0.38071	0.16894	0.48305	-0.09097	0.23446	0.37214	0.72269	0.49952	-0.00363	-0.07571	0.55580	0.63032	0.46699	-0.21781	0.42696
23	0.51895	0.14609	0.00793	0.09077	0.58209	0.06460	0.25608	0.21895	-0.00218	0.18603	0.36989	0.08252	0.23693	0.09696	0.23473	0.36305	0.05884	0.59055	0.39493	0.01303	0.35551	0.67447	0.53285	-0.04410	-0.03646	0.52270	0.65340	0.31045	-0.13666	0.42173	0.37292	0.16999	0.50374	-0.10846	0.24249	0.39326	0.70335	0.46705	-0.02944	-0.07123	0.56438	0.65778	0.44653	-0.22671	0.44424
24	0.49695	0.14573	0.00692	0.09538	0.60311	0.06325	0.23487	0.22050	0.00111	0.19162	0.39230	0.08536	0.21376	0.10523	0.25307	0.34114	0.07031	0.62188	0.38704	0.01845	0.37635	0.65027	0.52084	-0.03303	-0.05964	0.55198	0.65697	0.28901	-0.14344	0.45045	0.35770	0.17329	0.52357	-0.13232	0.25200	0.41416	0.68137	0.43039	-0.04556	-0.06384	0.57678	0.68748	0.41685	-0.22668	0.46747
25	0.47054	0.14582	0.00938	0.09946	0.62608	0.06449	0.20721	0.22112	0.00803	0.19541	0.41606	0.08890	0.18308	0.12001	0.27298	0.31608	0.08129	0.65441	0.37431	0.02453	0.39729	0.62033	0.50347	-0.01974	-0.07468	0.58360	0.66579	0.26020	-0.14708	0.48059	0.33555	0.17763	0.54204	-0.16008	0.26168	0.43396	0.65623	0.39160	-0.05297	-0.05526	0.59273	0.71794	0.37856	-0.21897	0.49547
26	0.44047	0.14519	0.01373	0.10198	0.65003	0.06733	0.17410	0.22085	0.01702	0.19756	0.44021	0.09294	0.14560	0.13858	0.29394	0.28852	0.09008	0.68628	0.35704	0.02989	0.41727	0.58532	0.48147	-0.00712	-0.08281	0.61587	0.67952	0.22421	-0.14892	0.51090	0.30843	0.18198	0.55893	-0.19027	0.27064	0.45220	0.62629	0.35279	-0.05313	-0.04662	0.61179	0.74778	0.33394	-0.20507	0.52673
27	0.40735	0.14327	0.01873	0.10262	0.67406	0.07071	0.13622	0.22009	0.02686	0.19819	0.46390	0.09731	0.10233	0.15844	0.31536	0.25903	0.09565	0.71591	0.33548	0.03375	0.43557	0.54568	0.45608	0.00273	-0.08549	0.64721	0.69772	0.18080	-0.14975	0.54030	0.27819	0.18581	0.57427	-0.22261	0.27814	0.46875	0.59105	0.31408	-0.04801	-0.03830	0.63340	0.77584	0.28509	-0.18627	0.55954
28	0.37129	0.14028	0.02362	0.10147	0.69743	0.07384	0.09423	0.21846	0.03661	0.19730	0.48647	0.10181	0.05422	0.17766	0.33659	0.22757	0.09773	0.74216	0.30969	0.03581	0.45193	0.50137	0.42721	0.00856	-0.08380	0.67645	0.71974	0.13009	-0.14998	0.56793	0.24597	0.18897	0.58825	-0.25562	0.28328	0.48376	0.55162	0.27398	-0.03954	-0.03023	0.65682	0.80114	0.23278	-0.16375	0.59213
29	0.33224	0.13685	0.02797	0.09896	0.71955	0.07630	0.04876	0.21523	0.04565	0.19494	0.50742	0.10617	0.00192	0.19498	0.35708	0.19382	0.09665	0.76438	0.28025	0.03638	0.46645	0.45308	0.39398	0.00978	-0.07874	0.70278	0.74485	0.07219	-0.14961	0.59326	0.21202	0.19151	0.60115	-0.28692	0.28535	0.49739	0.50941	0.23111	-0.02918	-0.02221	0.68121	0.82295	0.17638	-0.13886	0.62292
30	0.29062	0.13343	0.03165	0.09574	0.74004	0.07801	0.00070	0.21007	0.05362	0.19135	0.52647	0.11007	-0.05367	0.20947	0.37640	0.15785	0.09329	0.78246	0.24817	0.03597	0.47939	0.40234	0.35606	0.00633	-0.07137	0.72571	0.77216	0.00784	-0.14844	0.61598	0.17662	0.19361	0.61335	-0.31415	0.28429	0.50987	0.46543	0.18541	-0.01797	-0.01401	0.70573	0.84085	0.11533	-0.11318	0.65071
31	0.24706	0.12985	0.03484	0.09254	0.75868	0.07906	-0.04882	0.20338	0.06038	0.18676	0.54360	0.11320	-0.11114	0.22046	0.39439	0.12064	0.08882	0.79670	0.21392	0.03519	0.49109	0.35021	0.31363	-0.00094	-0.06247	0.74509	0.80058	-0.06107	-0.14605	0.63602	0.14020	0.19554	0.62530	-0.33615	0.28064	0.52170	0.41994	0.13775	-0.00666	-0.00527	0.72962	0.85476	0.05032	-0.08835	0.67479
32	0.20193	0.12570	0.03790	0.09000	0.77539	0.07963	-0.09854	0.19631	0.06597	0.18127	0.55892	0.11530	-0.16883	0.22773	0.41107	0.08335	0.08415	0.80779	0.17800	0.03456	0.50185	0.29682	0.26710	-0.01039	-0.05260	0.76108	0.82893	-0.13176	-0.14193	0.65346	0.10255	0.19781	0.63736	-0.35337	0.27511	0.53341	0.37254	0.08920	0.00419	0.00425	0.75236	0.86484	-0.01673	-0.06563	0.69484
33	0.15541	0.12067	0.04124	0.08850	0.79028	0.07987	-0.14725	0.19034	0.07064	0.17495	0.57271	0.11622	-0.22517	0.23174	0.42664	0.04680	0.07974	0.81660	0.14142	0.03440	0.51211	0.24225	0.21679	-0.02008	-0.04217	0.77413	0.85617	-0.20146	-0.13567	0.66856	0.06310	0.20101	0.64975	-0.36751	0.26833	0.54535	0.32281	0.04070	0.01433	0.01462	0.77364	0.87137	-0.08353	-0.04559	0.71087
34	0.10828	0.11458	0.04519	0.08790	0.80348	0.07985	-0.19456	0.18661	0.07494	0.16795	0.58528	0.11590	-0.27942	0.23335	0.44146	0.01177	0.07605	0.82395	0.10476	0.03492	0.52241	0.18699	0.16333	-0.02826	-0.03129	0.78487	0.88152	-0.26800	-0.12694	0.68171	0.02292	0.20517	0.66257	-0.38162	0.26141	0.55762	0.27136	-0.00667	0.02368	0.02582	0.79333	0.87465	-0.14853	-0.02802	0.72322
35	0.06167	0.10769	0.05000	0.08768	0.81518	0.07956	-0.24088	0.18552	0.07950	0.16040	0.59700	0.11436	-0.33169	0.23354	0.45592	-0.02212	0.07362	0.83050	0.06791	0.03636	0.53316	0.13175	0.10865	-0.03365	-0.01981	0.79408	0.90423	-0.33055	-0.11543	0.69331	-0.01624	0.20983	0.67575	-0.39935	0.25531	0.57019	0.21958	-0.05161	0.03226	0.03778	0.81147	0.87503	-0.21070	-0.01225	0.73242
36	0.01619	0.10042	0.05582	0.08734	0.82551	0.07893	-0.28593	0.18617	0.08467	0.15226	0.60812	0.11175	-0.38153	0.23337	0.47037	-0.05592	0.07285	0.83672	0.03085	0.03883	0.54451	0.07647	0.05493	-0.03556	-0.00769	0.80254	0.92368	-0.38953	-0.10107	0.70384	-0.05362	0.21456	0.68908	-0.42057	0.24978	0.58286	0.16857	-0.09332	0.04027	0.05047	0.82819	0.87285	-0.26888	0.00244	0.73902
37	-0.02768	0.09293	0.06265	0.08657	0.83457	0.07789	-0.32835	0.18713	0.09058	0.14353	0.61880	0.10830	-0.42785	0.23390	0.48516	-0.08899	0.07391	0.84290	-0.00631	0.04241	0.55638	0.02177	0.00237	-0.03402	0.00497	0.81085	0.93933	-0.44463	-0.08402	0.71377	-0.08878	0.21904	0.70229	-0.44185	0.24410	0.59508	0.11911	-0.13158	0.04799	0.06402	0.84361	0.86846	-0.32110	0.01652	0.74362
38	-0.06906	0.08533	0.07051	0.08515	0.84237	0.07639	-0.36696	0.18818	0.09737	0.13438	0.62919	0.10419	-0.47020	0.23618	0.50069	-0.12001	0.07705	0.84904	-0.04189	0.04707	0.56862	-0.03051	-0.04913	-0.02933	0.01799	0.81926	0.95087	-0.49446	-0.06461	0.72363	-0.12005	0.22280	0.71509	-0.46215	0.23778	0.60635	0.07178	-0.16647	0.05572	0.07886	0.85776	0.86218	-0.36608	0.03041	0.74668
39	-0.10697	0.07793	0.07953	0.08293	0.84882	0.07444	-0.40134	0.19013	0.10526	0.12514	0.63951	0.09955	-0.50966	0.24117	0.51720	-0.14881	0.08275	0.85486	-0.07313	0.05259	0.58137	-0.07916	-0.09709	-0.02174	0.03113	0.82772	0.95818	-0.53805	-0.04298	0.73384	-0.14523	0.22534	0.72733	-0.48158	0.23077	0.61662	0.02689	-0.19839	0.06373	0.09594	0.87060	0.85423	-0.40429	0.04472	0.74849
