	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d
17	0.26557	0.10596	-0.14027	0.12934	-0.09470	0.07985	0.51569	0.14540	0.06434	0.07397	-0.07607	0.07783	0.31847	-0.04572	-0.12089	0.22279	-0.11516	-0.13159	0.54322	0.13402	0.00088	0.26683	0.26043	-0.20388	-0.17438	-0.12175	-0.15203	0.58487	0.10315	-0.04601	0.47003	0.10664	0.06561	0.43353	0.02383	-0.18921	0.18312	0.19024	-0.25616	-0.19865	-0.10988	-0.11854	0.69836	0.10644	-0.02511
18	0.25816	0.10886	-0.15594	0.12774	-0.09631	0.07866	0.50614	0.14158	0.06015	0.07378	-0.07422	0.07697	0.30727	-0.05252	-0.11514	0.21301	-0.13738	-0.13470	0.53037	0.12161	-0.00088	0.25710	0.24964	-0.22103	-0.19226	-0.12141	-0.15308	0.58530	0.10556	-0.04412	0.46972	0.09093	0.06131	0.43301	0.02291	-0.18848	0.18624	0.17326	-0.26335	-0.21257	-0.10905	-0.12091	0.67475	0.10320	-0.02246
19	0.24881	0.11165	-0.17005	0.12716	-0.09849	0.07776	0.50113	0.13910	0.05779	0.07405	-0.07391	0.07669	0.29925	-0.05712	-0.11126	0.20120	-0.15687	-0.13917	0.52257	0.11121	-0.00352	0.24528	0.23329	-0.23848	-0.20934	-0.12264	-0.15320	0.59188	0.11015	-0.04387	0.46757	0.07798	0.05719	0.43660	0.02301	-0.18997	0.18657	0.15896	-0.27074	-0.22285	-0.10910	-0.12400	0.65536	0.10169	-0.02093
20	0.23884	0.11400	-0.18148	0.12709	-0.10123	0.07704	0.50145	0.13818	0.05728	0.07466	-0.07506	0.07704	0.29626	-0.05892	-0.10942	0.18936	-0.17175	-0.14473	0.52020	0.10321	-0.00666	0.23253	0.21384	-0.25389	-0.22444	-0.12536	-0.15237	0.60490	0.11629	-0.04511	0.46420	0.06765	0.05304	0.44350	0.02330	-0.19347	0.18426	0.14884	-0.27794	-0.22849	-0.11012	-0.12788	0.64237	0.10253	-0.02062
21	0.22992	0.11580	-0.18943	0.12713	-0.10453	0.07655	0.50738	0.13840	0.05832	0.07545	-0.07749	0.07793	0.29971	-0.05770	-0.10967	0.17998	-0.18111	-0.15107	0.52383	0.09806	-0.01012	0.22001	0.19439	-0.26541	-0.23639	-0.12952	-0.15086	0.62378	0.12318	-0.04764	0.46096	0.05990	0.04885	0.45295	0.02243	-0.19864	0.17961	0.14455	-0.28439	-0.22915	-0.11206	-0.13252	0.63665	0.10562	-0.02136
22	0.22328	0.11697	-0.19361	0.12697	-0.10833	0.07635	0.51877	0.13935	0.06063	0.07640	-0.08097	0.07925	0.31022	-0.05357	-0.11196	0.17500	-0.18510	-0.15789	0.53386	0.09624	-0.01377	0.20929	0.17719	-0.27212	-0.24431	-0.13512	-0.14904	0.64765	0.13041	-0.05120	0.45857	0.05459	0.04465	0.46371	0.01958	-0.20502	0.17281	0.14679	-0.28949	-0.22525	-0.11478	-0.13781	0.63843	0.11047	-0.02292
23	0.21934	0.11748	-0.19430	0.12646	-0.11256	0.07649	0.53447	0.14098	0.06417	0.07759	-0.08528	0.08077	0.32722	-0.04687	-0.11617	0.17504	-0.18485	-0.16496	0.54982	0.09796	-0.01742	0.20210	0.16334	-0.27400	-0.24787	-0.14195	-0.14735	0.67506	0.13813	-0.05560	0.45677	0.05151	0.04055	0.47287	0.01515	-0.21197	0.16469	0.15412	-0.29262	-0.21798	-0.11811	-0.14355	0.64738	0.11646	-0.02525
24	0.21825	0.11748	-0.19212	0.12561	-0.11709	0.07698	0.55262	0.14349	0.06890	0.07917	-0.09021	0.08224	0.34923	-0.03823	-0.12216	0.17948	-0.18210	-0.17204	0.57009	0.10278	-0.02089	0.19949	0.15362	-0.27181	-0.24734	-0.14959	-0.14618	0.70412	0.14677	-0.06066	0.45555	0.05057	0.03664	0.47726	0.01013	-0.21883	0.15694	0.16440	-0.29318	-0.20885	-0.12189	-0.14946	0.66240	0.12304	-0.02849
25	0.21989	0.11686	-0.18789	0.12442	-0.12176	0.07771	0.57163	0.14700	0.07467	0.08128	-0.09550	0.08348	0.37450	-0.02835	-0.12961	0.18690	-0.17845	-0.17880	0.59244	0.10986	-0.02390	0.20150	0.14847	-0.26664	-0.24372	-0.15744	-0.14592	0.73280	0.15666	-0.06611	0.45475	0.05144	0.03296	0.47662	0.00535	-0.22509	0.15119	0.17653	-0.29077	-0.19922	-0.12602	-0.15533	0.68179	0.12985	-0.03281
26	0.22369	0.11562	-0.18250	0.12277	-0.12643	0.07850	0.59021	0.15160	0.08140	0.08405	-0.10083	0.08443	0.40143	-0.01775	-0.13802	0.19525	-0.17497	-0.18493	0.61509	0.11836	-0.02623	0.20719	0.14771	-0.25949	-0.23830	-0.16479	-0.14693	0.75935	0.16806	-0.07144	0.45416	0.05328	0.02942	0.47129	0.00115	-0.23032	0.14802	0.18982	-0.28553	-0.18999	-0.13041	-0.16093	0.70388	0.13716	-0.03812
