	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
41	0.02823	0.00789	-0.02161	0.02173	0.02313	0.00910	0.13535	0.14332	0.02844	0.12953	0.06325	0.18402	0.02266	-0.03698	0.01669	0.03381	-0.00625	0.02957	0.03401	-0.06315	-0.06687	0.23669	0.12004	0.19337
42	0.02712	0.00905	-0.01745	0.02226	0.02841	0.00980	0.12887	0.14163	0.02795	0.12921	0.06481	0.18650	0.02072	-0.03320	0.02148	0.03351	-0.00171	0.03534	0.02872	-0.06342	-0.06707	0.22902	0.11932	0.19668
43	0.02582	0.01003	-0.01289	0.02248	0.03363	0.01024	0.12191	0.14015	0.02655	0.12917	0.06644	0.18892	0.01873	-0.02879	0.02639	0.03291	0.00301	0.04087	0.02281	-0.06479	-0.06715	0.22100	0.11789	0.20003
44	0.02413	0.01087	-0.00803	0.02234	0.03872	0.01031	0.11440	0.13858	0.02413	0.12928	0.06809	0.19113	0.01645	-0.02382	0.03143	0.03182	0.00777	0.04601	0.01641	-0.06728	-0.06706	0.21239	0.11554	0.20324
45	0.02183	0.01168	-0.00309	0.02179	0.04366	0.00994	0.10622	0.13671	0.02058	0.12930	0.06957	0.19300	0.01357	-0.01850	0.03663	0.03009	0.01231	0.05068	0.00955	-0.07084	-0.06690	0.20289	0.11201	0.20604
46	0.01880	0.01242	0.00159	0.02078	0.04837	0.00902	0.09722	0.13437	0.01587	0.12894	0.07060	0.19443	0.01001	-0.01311	0.04199	0.02758	0.01628	0.05475	0.00221	-0.07531	-0.06688	0.19223	0.10704	0.20808
47	0.01507	0.01278	0.00563	0.01922	0.05271	0.00749	0.08732	0.13136	0.01005	0.12796	0.07093	0.19527	0.00603	-0.00796	0.04741	0.02411	0.01922	0.05801	-0.00557	-0.08043	-0.06715	0.18020	0.10053	0.20901
48	0.01058	0.01240	0.00863	0.01701	0.05638	0.00529	0.07645	0.12754	0.00327	0.12624	0.07035	0.19529	0.00181	-0.00340	0.05265	0.01935	0.02066	0.06012	-0.01374	-0.08599	-0.06774	0.16663	0.09253	0.20844
49	0.00508	0.01100	0.01021	0.01412	0.05902	0.00239	0.06460	0.12282	-0.00428	0.12378	0.06881	0.19415	-0.00270	0.00022	0.05733	0.01286	0.02019	0.06071	-0.02224	-0.09180	-0.06847	0.15145	0.08325	0.20610
50	-0.00169	0.00848	0.01002	0.01054	0.06024	0.00120	0.05178	0.11728	-0.01232	0.12068	0.06638	0.19147	-0.00769	0.00256	0.06109	0.00431	0.01747	0.05940	-0.03115	-0.09766	-0.06901	0.13471	0.07301	0.20177
51	-0.00976	0.00491	0.00781	0.00628	0.05967	0.00543	0.03809	0.11126	-0.02048	0.11713	0.06314	0.18686	-0.01323	0.00337	0.06351	-0.00628	0.01225	0.05583	-0.04059	-0.10330	-0.06899	0.11676	0.06235	0.19527
52	-0.01885	0.00032	0.00351	0.00136	0.05696	0.01028	0.02382	0.10522	-0.02824	0.11326	0.05914	0.17997	-0.01907	0.00255	0.06424	-0.01862	0.00448	0.04969	-0.05058	-0.10833	-0.06812	0.09822	0.05185	0.18640
53	-0.02839	0.00526	-0.00267	0.00403	0.05194	0.01566	0.00960	0.09952	-0.03501	0.10904	0.05446	0.17058	-0.02467	0.00017	0.06301	-0.03210	-0.00552	0.04086	-0.06077	-0.11211	-0.06616	0.07997	0.04209	0.17507
54	-0.03760	0.01152	-0.01017	0.00959	0.04467	0.02121	-0.00358	0.09440	-0.04013	0.10431	0.04925	0.15860	-0.02946	-0.00339	0.05967	-0.04575	-0.01695	0.02967	-0.07033	-0.11389	-0.06289	0.06317	0.03363	0.16140
55	-0.04549	0.01786	-0.01794	0.01488	0.03569	0.02637	-0.01437	0.09001	-0.04282	0.09886	0.04399	0.14426	-0.03287	-0.00742	0.05433	-0.05812	-0.02847	0.01704	-0.07801	-0.11272	-0.05801	0.04928	0.02709	0.14600
56	-0.05096	0.02338	-0.02445	0.01930	0.02597	0.03035	-0.02132	0.08620	-0.04222	0.09256	0.03935	0.12806	-0.03443	-0.01080	0.04743	-0.06749	-0.03809	0.00452	-0.08227	-0.10767	-0.05120	0.03963	0.02323	0.12990
57	-0.05312	0.02704	-0.02792	0.02202	0.01688	0.03224	-0.02341	0.08231	-0.03765	0.08533	0.03587	0.11068	-0.03401	-0.01235	0.03968	-0.07224	-0.04349	-0.00591	-0.08161	-0.09798	-0.04239	0.03479	0.02269	0.11413
58	-0.05177	0.02813	-0.02718	0.02237	0.00967	0.03154	-0.02058	0.07725	-0.02911	0.07691	0.03383	0.09280	-0.03188	-0.01136	0.03197	-0.07167	-0.04300	-0.01264	-0.07520	-0.08350	-0.03178	0.03404	0.02527	0.09945
59	-0.04760	0.02680	-0.02249	0.02045	0.00488	0.02864	-0.01383	0.07031	-0.01751	0.06707	0.03312	0.07518	-0.02865	-0.00803	0.02513	-0.06655	-0.03694	-0.01537	-0.06354	-0.06494	-0.02004	0.03589	0.02992	0.08628
60	-0.04177	0.02390	-0.01530	0.01705	0.00221	0.02440	-0.00469	0.06156	-0.00447	0.05581	0.03323	0.05872	-0.02487	-0.00325	0.01947	-0.05867	-0.02736	-0.01504	-0.04822	-0.04393	-0.00830	0.03885	0.03499	0.07475
61	-0.03570	0.02030	-0.00726	0.01310	0.00083	0.01975	0.00530	0.05171	0.00826	0.04327	0.03357	0.04448	-0.02135	0.00200	0.01479	-0.05006	-0.01653	-0.01314	-0.03127	-0.02233	0.00212	0.04186	0.03886	0.06502
62	-0.03023	0.01698	0.00045	0.00926	-0.00021	0.01528	-0.00893	0.00819	0.00072	0.00373	0.00299	0.01002	-0.01822	0.00700	0.01060	-0.04224	-0.00610	-0.01101	-0.01472	-0.00192	0.01008	-0.00313	0.00336	-0.00410
63	-0.02740	0.01208	0.00700	0.00604	-0.00135	0.01129	-0.00448	0.00625	0.00751	0.01210	0.00507	0.01406	-0.01886	0.01127	0.00663	-0.03594	0.00273	-0.00933	-0.00006	0.01607	0.01501	-0.00889	-0.00105	-0.00488
64	-0.02116	0.01497	0.01133	0.00238	-0.00378	0.00787	-0.00208	0.01959	0.01216	0.02617	0.00611	0.01566	-0.01057	0.01302	0.00179	-0.03175	0.00965	-0.00934	0.01178	0.03066	0.01719	-0.01593	-0.00635	-0.00496
65	-0.01803	0.01275	0.01144	0.00249	-0.00115	0.00165	-0.01311	0.01454	-0.00734	0.00542	-0.00323	0.00138	-0.00902	0.01320	0.00001	-0.02705	0.00967	-0.00232	-0.00282	-0.00351	-0.00226	-0.02339	-0.01117	-0.00421
66	-0.02174	0.00868	0.00989	0.00192	-0.00039	0.00043	-0.01907	0.01572	-0.01077	0.00579	-0.00271	0.00001	-0.01561	0.01125	-0.00009	-0.02788	0.00854	-0.00069	-0.00796	-0.00668	-0.00271	-0.03019	-0.01487	-0.00272
67	-0.02580	0.00676	0.00669	0.00015	-0.00093	0.00028	-0.02478	0.01453	-0.01407	0.00519	-0.00169	0.00125	-0.02102	0.00659	-0.00073	-0.03058	0.00679	-0.00113	-0.01451	-0.01040	-0.00257	-0.03506	-0.01774	-0.00081
68	-0.02993	0.00449	0.00211	0.00204	-0.00092	0.00040	-0.02928	0.01072	-0.01727	0.00473	-0.00034	0.00210	-0.02675	0.00067	-0.00120	-0.03311	0.00356	-0.00064	-0.02170	-0.01392	-0.00182	-0.03686	-0.02061	0.00114
69	-0.03417	0.00224	-0.00299	0.00304	-0.00080	0.00085	-0.03193	0.00456	-0.02065	0.00501	0.00109	0.00241	-0.03258	-0.00513	-0.00139	-0.03575	-0.00084	-0.00020	-0.02871	-0.01710	-0.00061	-0.03516	-0.02420	0.00280
70	-0.03813	0.00041	-0.00817	0.00271	-0.00035	0.00111	-0.03233	0.00259	-0.02445	0.00600	0.00239	0.00225	-0.03842	-0.01008	-0.00113	-0.03785	-0.00625	0.00043	-0.03416	-0.02021	0.00080	-0.03050	-0.02869	0.00398
71	-0.04090	0.00293	-0.01351	0.00150	0.00033	0.00105	-0.03054	0.00905	-0.02872	0.00719	0.00340	0.00179	-0.04297	-0.01457	-0.00042	-0.03883	-0.01245	0.00107	-0.03694	-0.02363	0.00214	-0.02413	-0.03380	0.00467
72	-0.04125	0.00466	-0.01937	0.00012	0.00114	0.00074	-0.02687	0.01342	-0.03308	0.00807	0.00408	0.00127	-0.04454	-0.01946	0.00062	-0.03796	-0.01929	0.00166	-0.03636	-0.02737	0.00318	-0.01738	-0.03879	0.00498
73	-0.03830	0.00501	-0.02578	0.00092	0.00197	0.00028	-0.02186	0.01512	-0.03677	0.00823	0.00443	0.00083	-0.04184	-0.02513	0.00177	-0.03476	-0.02643	0.00217	-0.03255	-0.03095	0.00385	-0.01117	-0.04259	0.00502
74	-0.03199	0.00367	-0.03222	0.00144	0.00268	0.00015	-0.01617	0.01468	-0.03893	0.00753	0.00454	0.00052	-0.03459	-0.03120	0.00278	-0.02940	-0.03324	0.00257	-0.02654	-0.03361	0.00417	-0.00579	-0.04426	0.00491
75	-0.02318	0.00077	-0.03786	0.00162	0.00321	0.00045	-0.01064	0.01374	-0.03924	0.00615	0.00447	0.00031	-0.02372	-0.03671	0.00353	-0.02263	-0.03900	0.00289	-0.02036	-0.03489	0.00425	-0.00093	-0.04359	0.00469
76	-0.01319	0.00320	-0.04196	0.00173	0.00354	0.00056	-0.00590	0.01358	-0.03785	0.00448	0.00426	0.00018	-0.01093	-0.04074	0.00393	-0.01545	-0.04319	0.00314	-0.01550	-0.03468	0.00414	0.00371	-0.04102	0.00439
77	-0.00321	0.00762	-0.04417	0.00206	0.00367	0.00047	-0.00200	0.01402	-0.03523	0.00295	0.00394	0.00008	0.00218	-0.04272	0.00400	-0.00859	-0.04562	0.00334	-0.01191	-0.03314	0.00389	0.00791	-0.03731	0.00400
