	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
25	0.33386	0.04005	0.13108	0.04872	-0.01157	0.04909	0.60289	0.16780	0.17221	0.22616	-0.09643	0.19430	0.36218	0.16553	0.02314	0.30554	0.09663	-0.04628	0.48424	0.01229	-0.23382	0.72155	0.33213	0.04096
26	0.31108	0.03739	0.12577	0.04549	-0.00965	0.04655	0.58344	0.16601	0.15706	0.22289	-0.09178	0.18709	0.33751	0.15794	0.02326	0.28464	0.09361	-0.04257	0.46605	-0.00055	-0.22407	0.70083	0.31467	0.04052
27	0.29388	0.03665	0.12272	0.04247	-0.00797	0.04514	0.56477	0.16461	0.14441	0.21993	-0.08720	0.18019	0.31980	0.15275	0.02394	0.26797	0.09269	-0.03989	0.44837	-0.01110	-0.21461	0.68116	0.29992	0.04021
28	0.28205	0.03714	0.12173	0.04013	-0.00666	0.04480	0.54739	0.16292	0.13429	0.21657	-0.08302	0.17408	0.30831	0.15010	0.02502	0.25579	0.09335	-0.03834	0.43219	-0.01884	-0.20612	0.66259	0.28743	0.04007
29	0.27503	0.03797	0.12236	0.03868	-0.00583	0.04543	0.53207	0.16061	0.12669	0.21258	-0.07948	0.16921	0.30188	0.14971	0.02630	0.24818	0.09502	-0.03795	0.41850	-0.02363	-0.19913	0.64563	0.27701	0.04016
30	0.27204	0.03878	0.12412	0.03816	-0.00554	0.04688	0.51943	0.15727	0.12167	0.20798	-0.07673	0.16587	0.29946	0.15110	0.02761	0.24461	0.09714	-0.03869	0.40822	-0.02539	-0.19402	0.63063	0.26874	0.04056
31	0.27204	0.03983	0.12658	0.03861	-0.00581	0.04898	0.50984	0.15268	0.11900	0.20283	-0.07474	0.16425	0.30021	0.15388	0.02882	0.24388	0.09928	-0.04045	0.40188	-0.02442	-0.19088	0.61780	0.26242	0.04140
32	0.27412	0.04133	0.12967	0.03997	-0.00662	0.05150	0.50343	0.14692	0.11790	0.19725	-0.07339	0.16435	0.30334	0.15793	0.02980	0.24490	0.10140	-0.04304	0.39954	-0.02158	-0.18960	0.60732	0.25737	0.04283
33	0.27749	0.04299	0.13349	0.04192	-0.00796	0.05422	0.49949	0.14097	0.11739	0.19174	-0.07248	0.16601	0.30789	0.16313	0.03037	0.24709	0.10384	-0.04630	0.39980	-0.01819	-0.18986	0.59917	0.25297	0.04491
34	0.28156	0.04486	0.13811	0.04396	-0.00987	0.05693	0.49724	0.13586	0.11712	0.18727	-0.07180	0.16879	0.31328	0.16919	0.03038	0.24984	0.10702	-0.05013	0.40117	-0.01530	-0.19115	0.59331	0.24954	0.04755
