	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d
17	0.64484	0.08490	0.54445	0.10792	0.79792	0.25395	0.45010	0.14015	0.47179	0.11695	0.96468	0.07693	0.32751	0.34706	0.85987	0.53941	0.65398	0.49854	0.73001	0.40062	1.11968	0.51656	0.35107	0.96569	0.64950	0.55143	0.96844	0.44593	0.50733	0.95276	0.61593	0.59049	0.79213	0.31101	0.60206	1.07662	0.69401	0.53273	0.78135
18	0.64381	0.07577	0.38834	0.08220	0.80082	0.22081	0.44296	0.13611	0.31105	0.08413	0.94711	0.07496	0.31261	0.25204	0.84239	0.54888	0.46127	0.53930	0.70685	0.27626	1.07962	0.49768	0.20498	0.93802	0.64409	0.35565	0.95854	0.43397	0.32480	0.94330	0.61659	0.43643	0.79255	0.32643	0.41781	1.05331	0.70293	0.37939	0.79183
19	0.65457	0.06561	0.23993	0.05826	0.78770	0.18688	0.44373	0.13681	0.16069	0.06256	0.91257	0.07213	0.29580	0.17068	0.81109	0.57219	0.27806	0.56593	0.69052	0.16052	1.02315	0.48949	0.06911	0.89633	0.64880	0.16855	0.92929	0.43439	0.15073	0.91370	0.63443	0.28860	0.77503	0.35018	0.24440	1.01243	0.72112	0.23255	0.78667
20	0.66773	0.05566	0.10700	0.03966	0.76142	0.15436	0.44868	0.14260	0.02697	0.06642	0.86522	0.06787	0.27495	0.10378	0.77053	0.60314	0.11383	0.57914	0.67636	0.05886	0.95598	0.48940	-0.05110	0.84465	0.65954	-0.00087	0.88441	0.44139	-0.00566	0.86822	0.65397	0.15504	0.74245	0.37812	0.08872	0.95828	0.73743	0.10025	0.76808
21	0.67639	0.04784	-0.00565	0.03181	0.72602	0.12508	0.45689	0.15186	-0.08780	0.08732	0.81013	0.06157	0.25411	0.04707	0.72668	0.63555	-0.02589	0.58081	0.66047	-0.02582	0.88401	0.49521	-0.15303	0.78736	0.67421	-0.14783	0.82861	0.45313	-0.13954	0.81222	0.66394	0.04103	0.69955	0.40778	-0.04570	0.89577	0.74559	-0.01192	0.73971
22	0.67548	0.04544	-0.09610	0.03589	0.68590	0.10021	0.47003	0.15896	-0.18454	0.10675	0.75259	0.05256	0.24670	-0.00949	0.68676	0.66133	-0.13892	0.57374	0.63916	-0.09284	0.81232	0.50484	-0.23610	0.72856	0.69126	-0.27025	0.76690	0.46968	-0.24938	0.75112	0.65949	-0.05144	0.65175	0.43769	-0.15750	0.82962	0.74196	-0.10119	0.70579
23	0.66236	0.04970	-0.16505	0.04438	0.64514	0.08022	0.48817	0.15889	-0.26458	0.11682	0.69700	0.04158	0.26124	-0.07163	0.65585	0.67182	-0.22552	0.56130	0.61047	-0.14313	0.74483	0.51566	-0.30125	0.67169	0.70777	-0.36771	0.70392	0.49032	-0.33567	0.68962	0.64041	-0.12311	0.60394	0.46583	-0.24664	0.76393	0.72675	-0.16846	0.67049
24	0.63479	0.05280	-0.21396	0.05204	0.60693	0.06503	0.50713	0.15220	-0.32790	0.11873	0.64602	0.03242	0.29072	-0.13387	0.63399	0.66163	-0.28780	0.54691	0.57536	-0.17861	0.68429	0.52359	-0.35015	0.61943	0.71974	-0.44118	0.64347	0.51238	-0.40016	0.63126	0.60876	-0.17625	0.55986	0.48919	-0.31416	0.70195	0.69341	-0.21318	0.63667
25	0.60076	0.05962	-0.24815	0.05742	0.57397	0.05453	0.52158	0.14184	-0.37452	0.11625	0.60118	0.03070	0.32351	-0.18798	0.61914	0.63068	-0.32885	0.53353	0.53618	-0.20155	0.63247	0.52418	-0.38461	0.57374	0.72362	-0.49276	0.58835	0.53239	-0.44535	0.57854	0.56810	-0.21341	0.52193	0.50420	-0.36189	0.64610	0.66808	-0.24881	0.60795
26	0.54116	0.04016	-0.26135	0.06161	0.54650	0.04707	0.52797	0.13013	-0.40541	0.11186	0.56347	0.03738	0.35239	-0.22971	0.61013	0.58363	-0.35196	0.52341	0.49481	-0.21428	0.59044	0.51466	-0.40619	0.53588	0.71771	-0.52506	0.54034	0.54668	-0.47388	0.53303	0.52211	-0.23692	0.49154	0.50839	-0.39223	0.59797	0.56408	-0.24224	0.58059
