	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d
17	0.56223	0.14507	0.17542	0.08571	-0.19130	0.05569	1.17066	0.16358	0.06277	0.06555	-0.14850	0.05669	0.98525	0.04905	-0.08847	0.77560	0.29503	-0.14301	0.51888	0.09834	-0.15190	1.03194	-0.01440	-0.21700	1.33155	0.10490	-0.09989	1.33657	0.15071	-0.14217	0.50252	0.17522	-0.26319	1.16797	0.02359	-0.19495	0.45193	0.13311	-0.20711
18	0.58396	0.13804	0.19254	0.07603	-0.15798	0.05246	1.15794	0.15936	0.09802	0.06547	-0.11318	0.05347	0.99024	0.08703	-0.05976	0.78915	0.30319	-0.13226	0.53008	0.13111	-0.10160	1.01034	0.01300	-0.18553	1.31855	0.14522	-0.07178	1.31867	0.17890	-0.09813	0.52727	0.17535	-0.22189	1.15188	0.06596	-0.15069	0.48936	0.16051	-0.17618
19	0.58310	0.13120	0.20685	0.06634	-0.12308	0.05064	1.11677	0.15071	0.12548	0.06553	-0.07600	0.05073	0.97589	0.11861	-0.03083	0.77956	0.30522	-0.11765	0.51766	0.16126	-0.05677	0.96244	0.03440	-0.15114	1.27361	0.17583	-0.03943	1.26664	0.20011	-0.05433	0.52690	0.17521	-0.17756	1.10525	0.09843	-0.10425	0.50828	0.18570	-0.14033
20	0.56212	0.12343	0.21987	0.05804	-0.09115	0.04876	1.05262	0.13776	0.14614	0.06594	-0.04131	0.04834	0.94815	0.14526	-0.00437	0.74682	0.30464	-0.10050	0.48928	0.18823	-0.02207	0.89444	0.04981	-0.11765	1.20181	0.19822	-0.00769	1.18446	0.21551	-0.01598	0.50286	0.17741	-0.13668	1.03426	0.12192	-0.06086	0.50951	0.20922	-0.10534
21	0.52637	0.11351	0.23176	0.05121	-0.06494	0.04565	0.97434	0.12367	0.16094	0.06662	-0.01198	0.04596	0.91091	0.16702	0.01792	0.69417	0.30255	-0.08272	0.45277	0.21132	0.00121	0.81505	0.06009	-0.08765	1.11339	0.21383	0.01983	1.08306	0.22588	0.01399	0.46133	0.18239	-0.10308	0.94927	0.13792	-0.02401	0.49723	0.23078	-0.07518
22	0.48157	0.10207	0.24138	0.04533	-0.04536	0.04119	0.89025	0.11172	0.17022	0.06715	0.01067	0.04326	0.86606	0.18216	0.03497	0.62762	0.29790	-0.06632	0.41323	0.22941	0.01431	0.73261	0.06638	-0.06241	1.01842	0.22357	0.04117	0.97462	0.23145	0.03495	0.40932	0.18881	-0.07778	0.85952	0.14756	0.00465	0.47611	0.24940	-0.05165
23	0.43232	0.09186	0.24720	0.04029	-0.03184	0.03602	0.80640	0.10266	0.17396	0.06677	0.02651	0.04009	0.81511	0.18889	0.04622	0.55473	0.28897	-0.05270	0.37287	0.24112	0.01983	0.65354	0.06967	-0.04227	0.92347	0.22755	0.05569	0.86810	0.23199	0.04789	0.35180	0.19434	-0.05974	0.77177	0.15172	0.02501	0.44990	0.26437	-0.03476
24	0.38152	0.08550	0.24753	0.03634	-0.02305	0.03089	0.72714	0.09545	0.17256	0.06503	0.03638	0.03662	0.76273	0.18830	0.05248	0.48245	0.27514	-0.04236	0.33301	0.24564	0.02074	0.58190	0.07058	-0.02702	0.83202	0.22557	0.06377	0.76872	0.22730	0.05462	0.29199	0.19683	-0.04697	0.69031	0.15108	0.03805	0.41862	0.27253	-0.02363
25	0.33334	0.08394	0.24400	0.03585	-0.01729	0.02634	0.65534	0.08957	0.16675	0.06204	0.04162	0.03313	0.71417	0.18303	0.05521	0.41575	0.25749	-0.03484	0.29610	0.24329	0.01969	0.51998	0.06925	-0.01610	0.74616	0.21784	0.06651	0.67950	0.21761	0.05715	0.23349	0.19522	-0.03744	0.61690	0.14603	0.04531	0.38800	0.27998	-0.01656
26	0.28662	0.08080	0.23125	0.03010	-0.01336	0.02260	0.59266	0.08541	0.15732	0.05823	0.04362	0.02987	0.67303	0.17541	0.05562	0.35739	0.23824	-0.02922	0.26520	0.23527	0.01856	0.46887	0.06567	-0.00872	0.66775	0.20514	0.06538	0.60187	0.20349	0.05730	0.18163	0.18974	-0.02954	0.55179	0.13688	0.04850	0.34226	0.26175	-0.01326
27	0.26096	0.09101	0.23462	0.05644	-0.00925	0.01971	0.54019	0.08432	0.14528	0.05426	0.04369	0.02701	0.64219	0.16753	0.05461	0.30926	0.21973	-0.02449	0.24265	0.22309	0.01835	0.42856	0.05994	-0.00394	0.59926	0.18893	0.06199	0.53622	0.18586	0.05655	0.14174	0.18131	-0.02232	0.49471	0.12413	0.04922	0.35021	0.31436	-0.00855
28	0.21978	0.07113	0.21713	0.04827	-0.00579	0.01757	0.49871	0.08731	0.13193	0.05092	0.04297	0.02470	0.62310	0.16094	0.05301	0.27348	0.20394	-0.01995	0.22961	0.20859	0.01934	0.39868	0.05266	-0.00078	0.54301	0.17105	0.05782	0.48302	0.16625	0.05602	0.11667	0.17095	-0.01538	0.44574	0.10877	0.04880	0.25938	0.28503	-0.00719
29	0.19643	0.06343	0.18158	0.01581	-0.00267	0.01641	0.46865	0.09368	0.11884	0.04880	0.04242	0.02297	0.61532	0.15654	0.05152	0.25220	0.19228	-0.01528	0.22586	0.19375	0.02146	0.37921	0.04515	0.00169	0.49992	0.15338	0.05410	0.44315	0.14675	0.05653	0.10659	0.15951	-0.00871	0.40568	0.09238	0.04826	0.20107	0.18077	-0.00815
30	0.23342	0.09755	0.19086	0.04265	0.00210	0.01531	0.45017	0.10209	0.10744	0.04806	0.04274	0.02187	0.61812	0.15483	0.05079	0.24621	0.18511	-0.01055	0.22987	0.18047	0.02438	0.37018	0.03900	0.00423	0.47000	0.13704	0.05173	0.41718	0.12958	0.05865	0.10979	0.14800	-0.00254	0.37535	0.07674	0.04829	0.34782	0.24984	-0.00290
31	0.22620	0.07219	0.18148	0.04136	0.00554	0.01517	0.44279	0.11168	0.09941	0.04909	0.04447	0.02140	0.63065	0.15585	0.05130	0.25404	0.18175	-0.00605	0.23913	0.17017	0.02765	0.37076	0.03525	0.00738	0.45367	0.12638	0.05162	0.40453	0.11646	0.06277	0.12256	0.13729	0.00275	0.35434	0.06311	0.04931	0.28905	0.23672	-0.00217
32	0.24558	0.07659	0.17545	0.04263	0.00883	0.01512	0.44487	0.12212	0.09196	0.04985	0.04768	0.02151	0.65164	0.15903	0.05330	0.27105	0.18042	-0.00225	0.25052	0.16351	0.03080	0.37842	0.03396	0.01141	0.44940	0.10636	0.05300	0.40386	0.10843	0.06916	0.13965	0.12765	0.00665	0.34105	0.05200	0.05153	0.32110	0.23023	0.00012
33	0.26215	0.07775	0.17015	0.04286	0.01103	0.01539	0.45311	0.13283	0.09324	0.05392	0.05292	0.02240	0.67845	0.16326	0.05677	0.29163	0.17920	0.00046	0.26112	0.16034	0.03345	0.38973	0.03456	0.01646	0.45003	0.11901	0.05835	0.41332	0.10573	0.07798	0.15610	0.11889	0.00870	0.33402	0.04361	0.05502	0.33974	0.22216	0.00150
