	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
17	0.46736	0.13140	0.05140	0.08799	-0.08170	0.06468	0.55707	0.11445	0.12356	0.07961	-0.08310	0.08066	0.60498	0.11499	-0.14422	0.34577	-0.03552	-0.14290	0.39098	0.03084	-0.07987	0.44955	0.04930	-0.01403	0.65104	0.12315	-0.13812	0.60676	0.14042	-0.08816	0.58126	0.22526	0.02980
18	0.45673	0.12905	0.05502	0.08734	-0.07774	0.06842	0.58519	0.11925	0.14689	0.07792	-0.08732	0.07951	0.64272	0.14988	-0.14750	0.34139	-0.02966	-0.14263	0.41545	0.04548	-0.08148	0.43269	0.04993	-0.00626	0.68738	0.15683	-0.14331	0.59611	0.14479	-0.08433	0.59522	0.23535	0.02303
19	0.43906	0.12583	0.05294	0.08512	-0.07254	0.07036	0.60226	0.12415	0.15551	0.07669	-0.08895	0.07755	0.67036	0.16978	-0.14792	0.33052	-0.02890	-0.13973	0.42912	0.04743	-0.08142	0.40969	0.04671	0.00061	0.71004	0.17636	-0.14440	0.57698	0.14100	-0.07850	0.59953	0.22846	0.01797
20	0.41624	0.12240	0.04717	0.08226	-0.06800	0.06946	0.60650	0.12826	0.15154	0.07598	-0.08894	0.07453	0.68409	0.17457	-0.14592	0.31263	-0.03198	-0.13511	0.43104	0.03987	-0.08107	0.38479	0.04126	0.00358	0.71772	0.18196	-0.14233	0.55129	0.13222	-0.07246	0.59315	0.20978	0.01356
21	0.39254	0.11915	0.03961	0.07958	-0.06565	0.06541	0.59905	0.13042	0.13832	0.07516	-0.08857	0.07044	0.68225	0.16609	-0.14240	0.29058	-0.03743	-0.12992	0.42359	0.02618	-0.08169	0.36353	0.03476	0.00084	0.71249	0.17596	-0.13872	0.52352	0.12151	-0.06788	0.57786	0.18503	0.00852
22	0.37166	0.11637	0.03173	0.07766	-0.06631	0.05869	0.58285	0.13029	0.11946	0.07367	-0.08903	0.06551	0.66607	0.14752	-0.13850	0.26872	-0.04394	-0.12519	0.40982	0.00935	-0.08413	0.34833	0.02790	-0.00782	0.69856	0.16189	-0.13534	0.49793	0.11124	-0.06592	0.55696	0.15908	0.00185
23	0.35456	0.11401	0.02448	0.07670	-0.06991	0.05038	0.56116	0.12877	0.09833	0.07146	-0.09109	0.06016	0.63996	0.12286	-0.13528	0.25010	-0.05047	-0.12170	0.39166	-0.00811	-0.08871	0.33741	0.02110	-0.02107	0.67963	0.14347	-0.13353	0.47617	0.10282	-0.06696	0.53339	0.13509	-0.00684
24	0.33960	0.11133	0.01835	0.07659	-0.07558	0.04191	0.53627	0.12714	0.07742	0.06894	-0.09493	0.05496	0.60888	0.09584	-0.13350	0.23500	-0.05642	-0.11979	0.36961	-0.02451	-0.09519	0.32718	0.01483	-0.03643	0.65754	0.12376	-0.13391	0.45663	0.09664	-0.07053	0.50905	0.11460	-0.01711
25	0.32427	0.10769	0.01357	0.07709	-0.08195	0.03473	0.50963	0.12600	0.05825	0.06668	-0.10016	0.05049	0.57647	0.06940	-0.13352	0.22163	-0.06147	-0.11946	0.34417	-0.03909	-0.10284	0.31481	0.00963	-0.05091	0.63282	0.10471	-0.13634	0.43637	0.09255	-0.07547	0.48505	0.09801	-0.02793
26	0.30657	0.10319	0.01019	0.07793	-0.08750	0.02992	0.48265	0.12498	0.04156	0.06503	-0.10598	0.04715	0.54512	0.04561	-0.13533	0.20731	-0.06561	-0.12035	0.31757	-0.05166	-0.11057	0.29911	0.00611	-0.06180	0.60621	0.08732	-0.14007	0.41329	0.09009	-0.08036	0.46169	0.08498	-0.03797
