	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
20	0.17018	0.13727	0.10728	0.17223	0.48779	0.24746	0.41594	0.23819	0.27917	0.10787	0.36512	0.07858	0.60705	0.15166	0.25195	0.12049	0.25752	0.24032	0.13947	0.36828	0.38135	0.32538	-0.08069	0.73524	0.62232	0.22777	0.39415	0.06467	0.14500	0.48780	0.29492	0.36897	0.43303
21	0.14149	0.13652	0.04865	0.16916	0.52039	0.24220	0.37875	0.23745	0.20417	0.09504	0.40807	0.08547	0.57337	0.09689	0.28379	0.10459	0.19753	0.27747	0.10457	0.29038	0.42530	0.29266	-0.13528	0.76187	0.58121	0.15170	0.44671	0.02721	0.08370	0.52182	0.25584	0.27770	0.47649
22	0.11319	0.13365	-0.00319	0.16489	0.55018	0.23534	0.34932	0.23319	0.13083	0.08231	0.44623	0.09127	0.54532	0.04479	0.31268	0.08431	0.14303	0.31395	0.08312	0.21230	0.46464	0.25892	-0.18192	0.78461	0.54472	0.07709	0.49409	-0.00365	0.02932	0.55198	0.22411	0.18912	0.51350
23	0.08589	0.12794	-0.04713	0.15953	0.57753	0.22741	0.32692	0.22679	0.06212	0.07130	0.47972	0.09603	0.52176	-0.00362	0.33863	0.06307	0.09485	0.34949	0.07112	0.13813	0.49979	0.22371	-0.21977	0.80431	0.51400	0.00648	0.53621	-0.02910	-0.01648	0.57880	0.20081	0.10748	0.54423
24	0.05983	0.12089	-0.08285	0.15338	0.60277	0.21887	0.30949	0.22077	0.00033	0.06326	0.50900	0.09980	0.50185	-0.04764	0.36201	0.04219	0.05349	0.38392	0.06165	0.07149	0.53136	0.18858	-0.24891	0.82166	0.48930	-0.05802	0.57339	-0.05127	-0.05312	0.60274	0.18517	0.03550	0.56924
25	0.03486	0.11491	-0.11069	0.14680	0.62624	0.21012	0.29471	0.21605	-0.05335	0.05844	0.53474	0.10257	0.48420	-0.08683	0.38354	0.02017	0.01906	0.41706	0.05079	0.01419	0.56007	0.15641	-0.27003	0.83728	0.46881	-0.11502	0.60606	-0.07199	-0.08109	0.62437	0.17504	-0.02576	0.58928
26	0.01102	0.11187	-0.13141	0.14007	0.64825	0.20151	0.28053	0.21117	-0.09887	0.05602	0.55766	0.10429	0.46576	-0.12085	0.40407	-0.00389	-0.00879	0.44879	0.03966	-0.03417	0.58663	0.12960	-0.28406	0.85174	0.44960	-0.16400	0.63471	-0.09264	-0.10138	0.64422	0.16712	-0.07646	0.60524
27	-0.01073	0.11230	-0.14599	0.13326	0.66912	0.19333	0.26500	0.20455	-0.13676	0.05500	0.57841	0.10496	0.44260	-0.14961	0.42427	-0.02745	-0.03100	0.47905	0.03008	-0.07488	0.61157	0.10899	-0.29204	0.86554	0.42994	-0.20531	0.65983	-0.11374	-0.11493	0.66277	0.15736	-0.11724	0.61797
28	-0.02897	0.11540	-0.15543	0.12650	0.68913	0.18573	0.24705	0.19680	-0.16782	0.05502	0.59753	0.10464	0.41327	-0.17362	0.44470	-0.04648	-0.04870	0.50787	0.02057	-0.10854	0.63525	0.09418	-0.29515	0.87903	0.41031	-0.23986	0.68195	-0.13462	-0.12244	0.68049	0.14402	-0.14925	0.62822
29	-0.04276	0.11985	-0.16065	0.12000	0.70855	0.17876	0.22701	0.18982	-0.19295	0.05607	0.61548	0.10345	0.37984	-0.19389	0.46571	-0.05938	-0.06277	0.53534	0.00853	-0.13530	0.65785	0.08453	-0.29453	0.89238	0.39185	-0.26873	0.70168	-0.15343	-0.12465	0.69793	0.12784	-0.17387	0.63670
