	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
17	9.74586	0.39220	9.74948	0.43742	-2.15010	0.70636	10.76241	0.78989	6.63288	0.64152	0.64240	0.44045	9.67891	10.38163	9.90122	10.39396	-1.73416	-2.87458	9.70727	6.25184	0.75214	9.49220	9.21703	-1.63188	10.69739	7.29870	0.00332	9.95235	9.32697	10.05460	9.89619	-1.52240	-2.05061	11.57432	7.04075	1.01053	9.35793	10.03102	9.22511	9.55825	-3.38809	-1.84896	11.07065	5.94023	0.80362
18	9.95328	0.36659	9.83594	0.41520	-2.39780	0.71023	11.40775	0.70281	7.03794	0.66333	0.53387	0.57090	10.01037	10.47623	9.96877	10.42024	-1.73049	-3.13240	10.61344	6.89374	0.80299	9.63684	9.22901	-1.88822	11.24514	7.63990	-0.29012	10.18348	9.39794	10.18589	9.92104	-1.82113	-2.51431	12.31436	7.45409	1.00162	9.80216	10.16594	9.44376	9.68289	-3.56618	-2.13189	11.45804	6.16404	0.62099
19	9.96613	0.38866	9.85378	0.40883	-2.81076	0.68966	11.87631	0.67530	7.40317	0.70268	0.11141	0.65988	10.16286	10.37177	9.98038	10.36818	-1.99855	-3.53036	11.33615	7.48819	0.45553	9.60022	9.19244	-2.29571	11.62644	7.91619	-0.81472	10.21028	9.27273	10.25585	9.90189	-2.32511	-3.12512	12.86370	7.82250	0.68596	10.01715	10.12794	9.51949	9.75825	-3.82191	-2.57852	11.67895	6.38581	0.11888
20	9.81413	0.45190	9.81926	0.39641	-3.30527	0.66044	12.15099	0.70205	7.71206	0.74347	-0.50101	0.69396	10.13663	10.09430	9.93223	10.24615	-2.43057	-4.00781	11.84336	7.99879	-0.15877	9.39667	9.11004	-2.77913	11.82586	8.11796	-1.44123	10.04450	8.97407	10.25319	9.83409	-2.92192	-3.79602	13.20156	8.13105	0.16186	10.12550	9.92726	9.58658	9.77254	-4.11023	-3.09122	11.73316	6.60044	-0.56590
21	9.46355	0.49605	9.67228	0.42634	-3.81344	0.64268	12.22747	0.75708	7.94618	0.76956	-1.18912	0.68063	9.94145	9.67912	9.82034	10.06692	-2.92421	-4.51635	12.11978	8.38974	-0.90901	9.04747	8.97580	-3.27086	11.83912	8.23858	-2.07290	9.70733	8.53111	10.16504	9.71555	-3.52045	-4.46554	13.32228	8.36038	-0.47013	9.75561	9.58276	9.24654	9.71575	-4.39805	-3.59865	11.62872	6.79601	-1.30444
22	8.88724	0.54613	9.35976	0.66702	-4.29010	0.64870	12.11469	0.81451	8.09343	0.76916	-1.86396	0.63705	9.59562	9.16584	9.64439	9.84924	-3.40644	-5.02042	12.16747	8.63604	-1.68749	8.57823	8.78319	-3.72283	11.67415	8.28005	-2.64989	9.22709	7.97577	9.98695	9.54871	-4.06295	-5.09106	13.23545	8.49683	-1.12164	8.54885	9.11930	8.12026	9.58561	-4.66759	-4.05940	11.38169	6.96080	-1.99680
23	8.37161	0.56526	9.16503	0.59573	-4.71069	0.67703	11.83407	0.85834	8.15346	0.73641	-2.46389	0.58249	9.12497	8.59312	9.41280	9.61575	-3.83958	-5.49517	12.00444	8.73020	-2.41565	8.01705	8.53181	-4.10933	11.35109	8.25465	-3.13805	8.63726	7.33988	9.72906	9.34260	-4.52133	-5.64408	12.96483	8.54052	-1.72363	8.32381	8.56515	8.13361	9.38954	-4.91260	-4.45275	11.01593	7.08846	-2.57821
24	7.76994	0.59835	8.90953	0.58243	-5.06371	0.71672	11.41746	0.88143	8.13851	0.67112	-2.95083	0.53516	8.56161	7.99494	9.14399	9.38918	-4.21270	-5.92410	11.66195	8.68515	-3.04046	7.39244	8.22896	-4.42129	10.90074	8.18202	-3.51875	7.97390	6.65381	9.41404	9.10829	-4.88468	-6.10350	12.54528	8.50539	-2.22680	7.86376	7.94914	7.94045	9.14180	-5.13119	-4.76854	10.56187	7.18148	-3.01730
25	7.13367	0.63085	8.63348	0.58177	-5.34302	0.75515	10.90333	0.88262	8.07100	0.57880	-3.30829	0.50922	7.93996	7.39863	8.85940	9.18684	-4.52581	-6.29526	11.18086	8.53362	-3.53202	6.73009	7.88644	-4.65916	10.36102	8.08484	-3.78778	7.27233	5.94574	9.06847	8.85037	-5.14745	-6.44959	12.01829	8.41472	-2.60264	7.35104	7.29788	7.72345	8.85938	-5.32149	-5.00236	10.05315	7.25084	-3.31073
26	6.48382	0.66092	8.34452	0.60318	-5.54369	0.78354	10.33176	0.86492	7.97794	0.47055	-3.53935	0.50849	7.29094	6.82385	8.57214	9.01475	-4.77559	-6.59606	10.60681	8.32139	-3.88090	6.05024	7.51600	-4.82730	9.77208	7.98437	-3.95586	6.56269	5.24033	8.71353	8.56689	-5.30596	-6.66674	11.42666	8.29547	-2.84550	6.78550	6.63321	7.47028	8.55807	-5.47912	-5.15507	9.52149	7.31054	-3.47513
