	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
17	0.15741	0.08520	-0.12397	0.02231	-0.08640	0.01557	0.25051	0.08098	-0.14620	0.01656	-0.09412	0.02201	0.30667	-0.12786	-0.08536	0.12403	-0.09827	-0.08638	0.13151	-0.13685	-0.12053	0.09396	-0.13532	-0.10198	0.29581	-0.15733	-0.10149	0.25425	-0.13832	-0.07084	0.26804	-0.16277	-0.06911
18	0.13934	0.08542	-0.12184	0.01607	-0.08371	0.01563	0.25002	0.07944	-0.15657	0.01411	-0.09283	0.02458	0.30281	-0.14141	-0.08548	0.10349	-0.10344	-0.08794	0.13271	-0.14876	-0.12178	0.07769	-0.12897	-0.09679	0.29453	-0.17266	-0.10056	0.23684	-0.13310	-0.06640	0.27004	-0.16345	-0.06349
19	0.12068	0.08530	-0.11620	0.00941	-0.08023	0.01629	0.24774	0.07750	-0.15957	0.01397	-0.09033	0.02670	0.29704	-0.14815	-0.08469	0.08129	-0.10574	-0.08823	0.13270	-0.15349	-0.12129	0.06219	-0.11886	-0.09097	0.29042	-0.17982	-0.09803	0.21855	-0.12400	-0.06149	0.27079	-0.15680	-0.05733
20	0.10405	0.08433	-0.10785	0.00385	-0.07644	0.01736	0.24240	0.07484	-0.15567	0.01580	-0.08716	0.02841	0.28685	-0.14833	-0.08361	0.05939	-0.10516	-0.08760	0.13070	-0.15161	-0.11944	0.05146	-0.10612	-0.08528	0.28267	-0.17890	-0.09464	0.20132	-0.11226	-0.05644	0.26937	-0.14386	-0.05096
21	0.09261	0.08248	-0.09772	0.00520	-0.07266	0.01863	0.23433	0.07173	-0.14632	0.01850	-0.08367	0.02981	0.27156	-0.14313	-0.08262	0.04110	-0.10207	-0.08632	0.12682	-0.14451	-0.11658	0.04899	-0.09197	-0.08021	0.27285	-0.17120	-0.09092	0.18774	-0.09912	-0.05143	0.26608	-0.12646	-0.04456
22	0.08772	0.08044	-0.08670	0.00988	-0.06899	0.01997	0.22477	0.06893	-0.13326	0.02125	-0.08002	0.03105	0.25232	-0.13406	-0.08183	0.02866	-0.09709	-0.08458	0.12163	-0.13379	-0.11299	0.05516	-0.07743	-0.07591	0.26331	-0.15860	-0.08712	0.17934	-0.08557	-0.04649	0.26184	-0.10659	-0.03816
23	0.08829	0.07908	-0.07552	0.01405	-0.06541	0.02128	0.21499	0.06708	-0.11812	0.02366	-0.07621	0.03219	0.23187	-0.12263	-0.08112	0.02209	-0.09090	-0.08246	0.11586	-0.12092	-0.10878	0.06693	-0.06336	-0.07221	0.25499	-0.14297	-0.08318	0.17586	-0.07230	-0.04156	0.25726	-0.08597	-0.03177
24	0.09161	0.07829	-0.06477	0.01739	-0.06178	0.02254	0.20559	0.06627	-0.10220	0.02553	-0.07211	0.03324	0.21267	-0.10995	-0.08023	0.01990	-0.08410	-0.08001	0.10979	-0.10709	-0.10400	0.07978	-0.05041	-0.06876	0.24738	-0.12580	-0.07887	0.17514	-0.05980	-0.03658	0.25250	-0.06595	-0.02536
25	0.09483	0.07729	-0.05490	0.01986	-0.05796	0.02371	0.19673	0.06619	-0.08641	0.02674	-0.06757	0.03417	0.19617	-0.09682	-0.07882	0.02015	-0.07718	-0.07724	0.10342	-0.09324	-0.09868	0.08983	-0.03909	-0.06514	0.23986	-0.10814	-0.07387	0.17449	-0.04842	-0.03149	0.24747	-0.04744	-0.01891
26	0.09582	0.07562	-0.04622	0.02145	-0.05382	0.02474	0.18877	0.06621	-0.07139	0.02733	-0.06247	0.03495	0.18327	-0.08377	-0.07657	0.02068	-0.07048	-0.07417	0.09726	-0.08010	-0.09294	0.09488	-0.02975	-0.06101	0.23254	-0.09074	-0.06797	0.17191	-0.03845	-0.02629	0.24200	-0.03093	-0.01240
27	0.09362	0.07347	-0.03894	0.02220	-0.04938	0.02558	0.18232	0.06559	-0.05751	0.02742	-0.05676	0.03561	0.17489	-0.07128	-0.07331	0.01962	-0.06419	-0.07085	0.09249	-0.06816	-0.08692	0.09468	-0.02252	-0.05621	0.22593	-0.07406	-0.06106	0.16654	-0.03009	-0.02108	0.23599	-0.01653	-0.00575
28	0.08846	0.07124	-0.03305	0.02222	-0.04470	0.02620	0.17747	0.06399	-0.04493	0.02724	-0.05044	0.03618	0.17079	-0.05961	-0.06894	0.01619	-0.05846	-0.06735	0.08958	-0.05764	-0.08073	0.09058	-0.01723	-0.05073	0.22011	-0.05839	-0.05320	0.15862	-0.02346	-0.01601	0.22940	-0.00409	0.00112
29	0.08139	0.06904	-0.02844	0.02170	-0.03993	0.02664	0.17354	0.06180	-0.03363	0.02696	-0.04356	0.03668	0.16936	-0.04885	-0.06347	0.01092	-0.05332	-0.06382	0.08776	-0.04847	-0.07443	0.08434	-0.01347	-0.04478	0.21439	-0.04385	-0.04459	0.14892	-0.01852	-0.01120	0.22267	0.00667	0.00826
30	0.07372	0.06673	-0.02485	0.02081	-0.03528	0.02700	0.16982	0.05959	-0.02344	0.02671	-0.03622	0.03712	0.16838	-0.03898	-0.05697	0.00521	-0.04875	-0.06040	0.08618	-0.04043	-0.06805	0.07746	-0.01071	-0.03872	0.20828	-0.03043	-0.03548	0.13851	-0.01510	-0.00672	0.21646	0.01607	0.01564
31	0.06672	0.06426	-0.02202	0.01976	-0.03096	0.02740	0.16605	0.05744	-0.01419	0.02658	-0.02855	0.03751	0.16657	-0.02990	-0.04954	0.00033	-0.04469	-0.05727	0.08482	-0.03326	-0.06168	0.07122	-0.00846	-0.03303	0.20166	-0.01808	-0.02616	0.12861	-0.01290	-0.00258	0.21113	0.02447	0.02319
