	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d
17	0.78525	0.14741	-0.14137	0.17455	0.77218	0.09844	0.27650	0.15306	-0.28536	0.06790	0.88296	0.07880	0.75348	-0.19927	0.88047	0.43585	-0.31683	0.94375	0.42285	-0.30349	0.88757	0.35671	-0.27584	0.98107	1.01262	-0.38082	0.86216	0.13917	-0.20304	0.93635	0.37099	-0.38850	0.77399	0.74808	-0.26374	0.64898	0.86590	-0.10970	0.81396	0.12360	-0.31399	0.78799	0.56702	0.06648	0.66435	0.08636	-0.19584	0.87003	0.76437	0.03882	0.76318
18	0.78250	0.14029	-0.19169	0.17200	0.74164	0.07509	0.29739	0.14575	-0.33331	0.06614	0.81645	0.07566	0.74234	-0.23602	0.83910	0.44013	-0.36211	0.89999	0.44452	-0.36204	0.84481	0.37567	-0.34379	0.88024	0.99494	-0.42236	0.80026	0.16349	-0.24191	0.85526	0.38392	-0.42558	0.71761	0.75224	-0.32115	0.64829	0.87069	-0.17523	0.76822	0.17181	-0.35005	0.71103	0.57665	0.01710	0.66659	0.10215	-0.24767	0.80621	0.75815	-0.01246	0.72738
19	0.77541	0.13324	-0.23533	0.16606	0.71404	0.05525	0.31529	0.13946	-0.36338	0.06557	0.75656	0.07377	0.72914	-0.26574	0.79960	0.44189	-0.39460	0.85793	0.46243	-0.40346	0.80269	0.39734	-0.39043	0.78385	0.97234	-0.45370	0.74661	0.18487	-0.26421	0.78258	0.39014	-0.44140	0.67155	0.74911	-0.36561	0.64871	0.87016	-0.23495	0.72637	0.21322	-0.36712	0.64918	0.58169	-0.02884	0.66841	0.11716	-0.28247	0.74815	0.75005	-0.06314	0.69452
20	0.76405	0.12613	-0.27136	0.15757	0.68996	0.04046	0.32714	0.13475	-0.37681	0.06640	0.70672	0.07283	0.71403	-0.28836	0.76352	0.43912	-0.41393	0.82073	0.47407	-0.42762	0.76466	0.41778	-0.41731	0.69687	0.94497	-0.47533	0.70250	0.19908	-0.27137	0.72189	0.38747	-0.43902	0.63843	0.73865	-0.39679	0.65054	0.86435	-0.28673	0.68913	0.24478	-0.36763	0.60458	0.58234	-0.06999	0.66937	0.12770	-0.30076	0.69986	0.73996	-0.11096	0.66471
21	0.74853	0.11903	-0.29921	0.14756	0.66984	0.03259	0.33077	0.13228	-0.37567	0.06854	0.66896	0.07303	0.69722	-0.30412	0.73213	0.43019	-0.42069	0.79076	0.47806	-0.43573	0.73332	0.43272	-0.42722	0.62259	0.91312	-0.48805	0.66860	0.20323	-0.26546	0.67524	0.37708	-0.42234	0.61930	0.72102	-0.41522	0.65453	0.85377	-0.32901	0.65685	0.26360	-0.35401	0.57762	0.57870	-0.10515	0.66914	0.13052	-0.30424	0.66391	0.72735	-0.15369	0.63781
22	0.72910	0.11236	-0.31862	0.13696	0.65392	0.03247	0.32505	0.13223	-0.36241	0.07167	0.64401	0.07475	0.67887	-0.31341	0.70630	0.41406	-0.41601	0.76941	0.47401	-0.42986	0.71021	0.43909	-0.42345	0.56271	0.87760	-0.49261	0.64489	0.19653	-0.24878	0.64329	0.36095	-0.39524	0.61393	0.69650	-0.42198	0.66129	0.83914	-0.36093	0.62973	0.26730	-0.32843	0.56724	0.57073	-0.13331	0.66760	0.12342	-0.29510	0.64126	0.71178	-0.18947	0.61367
23	0.70606	0.10659	-0.32954	0.12647	0.64217	0.03768	0.30977	0.13410	-0.33940	0.07547	0.63147	0.07813	0.65925	-0.31664	0.68641	0.39037	-0.40140	0.75714	0.46188	-0.41231	0.69588	0.43582	-0.40932	0.51781	0.83988	-0.48957	0.63072	0.17980	-0.22345	0.62554	0.34001	-0.36073	0.62111	0.66506	-0.41838	0.67097	0.82050	-0.38191	0.60788	0.25452	-0.29302	0.57125	0.55855	-0.15379	0.66482	0.10600	-0.27555	0.63156	0.69310	-0.21695	0.59225
24	0.67969	0.10210	-0.33212	0.11646	0.63438	0.04518	0.28550	0.13720	-0.30879	0.07966	0.63018	0.08286	0.63852	-0.31412	0.67253	0.35968	-0.37847	0.75355	0.44177	-0.38523	0.69002	0.42367	-0.38783	0.48762	0.80149	-0.47927	0.62485	0.15417	-0.19123	0.62073	0.31391	-0.32087	0.63903	0.62666	-0.40593	0.68320	0.79755	-0.39170	0.59118	0.22542	-0.25028	0.58668	0.54252	-0.16644	0.66101	0.07990	-0.24766	0.63362	0.67140	-0.23525	0.57353
25	0.65031	0.09931	-0.32672	0.10699	0.63008	0.05335	0.25333	0.14098	-0.27256	0.08387	0.63847	0.08815	0.61661	-0.30606	0.66436	0.32288	-0.34851	0.75754	0.41376	-0.35061	0.69173	0.40449	-0.36132	0.47141	0.76316	-0.46183	0.62567	0.12023	-0.15367	0.62706	0.28185	-0.27729	0.66546	0.58132	-0.38631	0.69714	0.77052	-0.39056	0.57934	0.18229	-0.20325	0.61036	0.52294	-0.17148	0.65649	0.04778	-0.21332	0.64574	0.64731	-0.24410	0.55750
26	0.61832	0.09871	-0.31392	0.09790	0.62862	0.06142	0.21463	0.14515	-0.23248	0.08762	0.65438	0.09304	0.59334	-0.29260	0.66118	0.28071	-0.31244	0.76751	0.37814	-0.31037	0.69966	0.38008	-0.33131	0.46810	0.72502	-0.43727	0.63134	0.07862	-0.11226	0.64237	0.24403	-0.23167	0.69786	0.52954	-0.36135	0.71165	0.74000	-0.37898	0.57184	0.12945	-0.15518	0.63931	0.49997	-0.16951	0.65163	0.01135	-0.17409	0.66584	0.62205	-0.24384	0.54407
