	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d
20	0.07715	0.09503	-0.01883	0.09283	0.12904	0.08596	0.06063	0.01711	0.03001	0.01444	0.08344	0.02214	0.14289	0.06640	0.22114	0.08181	0.04630	0.13180	0.07427	0.01992	0.08483	0.06139	0.01784	0.07805	0.21779	0.12238	0.24081	0.02935	0.00876	0.06618	0.05127	0.03937	0.07880	0.09490	-0.02946	0.04066	0.00050	-0.08238	0.09337	0.05854	0.04329	0.07214	-0.04125	-0.10331	0.04611	0.06777	0.03459	0.07231	0.04805	-0.08662	0.13211
21	0.07844	0.09404	-0.01040	0.09054	0.11915	0.08406	0.05701	0.01730	0.03343	0.01375	0.08548	0.02189	0.14237	0.07229	0.21444	0.07879	0.05072	0.13324	0.07176	0.02447	0.08788	0.05456	0.02283	0.07547	0.21793	0.12835	0.22598	0.02683	0.01208	0.07044	0.04697	0.04099	0.08199	0.09612	-0.02476	0.03492	-0.00125	-0.07204	0.08056	0.05431	0.04176	0.07173	-0.03702	-0.09568	0.04010	0.06583	0.04117	0.07761	0.05246	-0.07058	0.11889
22	0.08010	0.09294	-0.00367	0.08825	0.11050	0.08213	0.05259	0.01760	0.03515	0.01371	0.08750	0.02197	0.14160	0.07687	0.20802	0.07512	0.05356	0.13476	0.06779	0.02703	0.09066	0.04894	0.02565	0.07348	0.21872	0.13211	0.21311	0.02319	0.01359	0.07365	0.04123	0.04118	0.08526	0.09682	-0.02183	0.03208	-0.00170	-0.06339	0.06877	0.04919	0.03921	0.07221	-0.03269	-0.08931	0.03445	0.06264	0.04585	0.08248	0.05782	-0.05645	0.10657
23	0.08158	0.09178	0.00137	0.08607	0.10339	0.08028	0.04741	0.01776	0.03541	0.01406	0.08959	0.02217	0.14057	0.08007	0.20204	0.07052	0.05487	0.13632	0.06231	0.02784	0.09343	0.04420	0.02680	0.07211	0.21945	0.13389	0.20255	0.01861	0.01353	0.07610	0.03460	0.04011	0.08870	0.09641	-0.02008	0.03151	-0.00115	-0.05670	0.05880	0.04339	0.03606	0.07359	-0.02901	-0.08430	0.02958	0.05823	0.04864	0.08686	0.06319	-0.04466	0.09585
24	0.08247	0.09065	0.00483	0.08406	0.09790	0.07856	0.04177	0.01766	0.03443	0.01454	0.09188	0.02237	0.13932	0.08196	0.19659	0.06499	0.05478	0.13791	0.05564	0.02715	0.09649	0.04004	0.02669	0.07140	0.21958	0.13398	0.19440	0.01345	0.01217	0.07816	0.02791	0.03793	0.09239	0.09476	-0.01907	0.03246	-0.00002	-0.05191	0.05108	0.03746	0.03267	0.07598	-0.02653	-0.08059	0.02565	0.05290	0.04963	0.09085	0.06774	-0.03539	0.08722
25	0.08253	0.08957	0.00691	0.08222	0.09400	0.07700	0.03609	0.01722	0.03249	0.01494	0.09456	0.02246	0.13787	0.08274	0.19172	0.05877	0.05344	0.13957	0.04833	0.02526	0.10015	0.03624	0.02565	0.07142	0.21866	0.13268	0.18858	0.00822	0.00986	0.08022	0.02199	0.03491	0.09638	0.09212	-0.01842	0.03437	0.00117	-0.04887	0.04568	0.03195	0.02930	0.07953	-0.02553	-0.07805	0.02266	0.04713	0.04901	0.09466	0.07088	-0.02863	0.08095
26	0.08160	0.08856	0.00778	0.08052	0.09154	0.07557	0.03075	0.01647	0.02985	0.01511	0.09781	0.02242	0.13615	0.08258	0.18742	0.05220	0.05104	0.14139	0.04099	0.02243	0.10463	0.03272	0.02397	0.07224	0.21637	0.13020	0.18486	0.00337	0.00702	0.08276	0.01733	0.03131	0.10075	0.08898	-0.01794	0.03687	0.00188	-0.04737	0.04247	0.02718	0.02620	0.08433	-0.02597	-0.07654	0.02049	0.04150	0.04699	0.09856	0.07218	-0.02424	0.07713
27	0.07967	0.08757	0.00762	0.07894	0.09035	0.07424	0.02596	0.01553	0.02678	0.01494	0.10179	0.02224	0.13411	0.08163	0.18363	0.04551	0.04764	0.14347	0.03402	0.01892	0.11008	0.02951	0.02195	0.07394	0.21261	0.12673	0.18292	-0.00087	0.00409	0.08627	0.01383	0.02738	0.10560	0.08589	-0.01754	0.03979	0.00167	-0.04724	0.04111	0.02314	0.02356	0.09040	-0.02765	-0.07588	0.01901	0.03658	0.04391	0.10276	0.07136	-0.02198	0.07564
28	0.07682	0.08661	0.00659	0.07742	0.09024	0.07298	0.02164	0.01462	0.02353	0.01442	0.10663	0.02193	0.13170	0.08001	0.18033	0.03863	0.04323	0.14594	0.02751	0.01502	0.11657	0.02670	0.01983	0.07663	0.20751	0.12240	0.18243	-0.00470	0.00140	0.09115	0.01095	0.02341	0.11103	0.08331	-0.01725	0.04310	0.00035	-0.04830	0.04127	0.01971	0.02156	0.09760	-0.03018	-0.07585	0.01814	0.03271	0.04025	0.10745	0.06826	-0.02147	0.07618
29	0.07320	0.08563	0.00485	0.07591	0.09099	0.07180	0.01753	0.01399	0.02032	0.01363	0.11236	0.02153	0.12888	0.07778	0.17747	0.03142	0.03791	0.14892	0.02112	0.01102	0.12409	0.02428	0.01778	0.08040	0.20129	0.11734	0.18304	-0.00857	-0.00090	0.09758	0.00802	0.01961	0.11711	0.08137	-0.01714	0.04677	-0.00207	-0.05036	0.04261	0.01665	0.02028	0.10565	-0.03318	-0.07623	0.01775	0.02982	0.03652	0.11277	0.06294	-0.02228	0.07831
30	0.06897	0.08457	0.00255	0.07439	0.09240	0.07067	0.01327	0.01390	0.01733	0.01281	0.11896	0.02104	0.12558	0.07489	0.17504	0.02388	0.03208	0.15241	0.01438	0.00719	0.13253	0.02208	0.01589	0.08537	0.19415	0.11174	0.18438	-0.01294	-0.00278	0.10555	0.00434	0.01608	0.12378	0.07991	-0.01731	0.05078	-0.00535	-0.05321	0.04485	0.01368	0.01970	0.11423	-0.03626	-0.07684	0.01775	0.02744	0.03316	0.11884	0.05579	-0.02396	0.08158
